ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Publications,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Microbiota associations,No. of Cancer associations
567,Caffeine,Xanthines,"1,3,7-Trimethylxanthine",Single,,58-08-2,2519,27732,FDB002100,HMDB0001847,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,C8H10N4O2,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",RYYVLZVUVIJVGH-UHFFFAOYSA-N,194.1906,194.080375584,4,0,0,5,4,0,0
1627,chiro-Inositol,Cyclohexanols,1D-chiro-Inositol; D-Inositol; (+)-Inositol,Single,,643-12-9,,27372,FDB001138,,O[C@H]1[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4-,5+,6+/m0/s1",CDAISMWEOUEBRE-LKPKBOIGSA-N,180.1559,180.063388116,2,0,0,4,4,0,0
1639,Ciliatine,Organic phosphonic acids,(2-Aminoethyl)phosphonic acid; 2-Aminoethylphosphonate; beta-Aminoethylphosphonic acid,Single,,2041-14-7,339,15573,FDB028420,HMDB0011747,NCCP(O)(O)=O,C2H8NO3P,"InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)",QQVDJLLNRSOCEL-UHFFFAOYSA-N,125.0636,125.024179639,1,0,0,1,1,0,0
1641,Creatine,Alpha amino acids and derivatives,N-Methyl-N-guanylglycine; (alpha-Methylguanido)acetic acid,Single,,57-00-1,586,16919,FDB005403,HMDB0000064,CN(CC(O)=O)C(N)=N,C4H9N3O2,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,131.069476547,6,3,0,1,3,1,0
186,Ethyl glucuronide,O-glucuronides,,Single,Metabolite of ethanol. Biomarker of ethanol intake.,17685-04-0,152226,87248,FDB027477,HMDB0010325,CCOC1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,C8H14O7,"InChI=1S/C8H14O7/c1-2-14-8-5(11)3(9)4(10)6(15-8)7(12)13/h3-6,8-11H,2H2,1H3,(H,12,13)/t3-,4-,5+,6-,8?/m0/s1",IWJBVMJWSPZNJH-XWBUKDKVSA-N,222.193,222.073952791,3,2,1,11,5,0,0
1638,Lysine,L-alpha-amino acids,L-Lysine,Single,,56-87-1,5962,18019,FDB000474,HMDB0000182,NCCCC[C@H](N)C(O)=O,C6H14N2O2,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KDXKERNSBIXSRK-YFKPBYRVSA-N,146.1876,146.105527702,12,13,0,1,1,4,0
1630,N-(2-Furoyl)glycine,N-acyl-alpha amino acids,N-2-Furoyl-glycine; 2-Furoylglycine; Furoylglycine,Single,,5657-19-2,21863,82912,FDB022046,HMDB0000439,OC(=O)CNC(=O)C1=CC=CO1,C7H7NO4,"InChI=1S/C7H7NO4/c9-6(10)4-8-7(11)5-2-1-3-12-5/h1-3H,4H2,(H,8,11)(H,9,10)",KSPQDMRTZZYQLM-UHFFFAOYSA-N,169.1348,169.037507717,3,0,0,4,4,0,0
1644,N-Acetylglutamine,Glutamine and derivatives,N-Acetyl-L-glutamine; N2-Acetyl-L-glutamine,Single,,35305-74-9,182230,21553,FDB023808,HMDB0006029,CC(=O)N[C@@H](CCC(N)=O)C(O)=O,C7H12N2O4,"InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1",KSMRODHGGIIXDV-YFKPBYRVSA-N,188.1812,188.079706882,1,0,0,1,1,0,0
1642,N-Acetyltyrosine,Tyrosine and derivatives,N-Acetyl-L-tyrosine; Acetyltyrosine,Single,,537-55-3,68310,21563,FDB022288,HMDB0000866,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,C11H13NO4,"InChI=1S/C11H13NO4/c1-7(13)12-10(11(15)16)6-8-2-4-9(14)5-3-8/h2-5,10,14H,6H2,1H3,(H,12,13)(H,15,16)/t10-/m0/s1",CAHKINHBCWCHCF-JTQLQIEISA-N,223.2252,223.084457909,2,0,0,1,1,0,1
1643,N-Methylglutamic acid,Glutamic acid and derivatives,N-Methyl-L-glutamic acid; Methylglutamic acid; N-Methylglutamate,Single,,35989-16-3,439377,16440,FDB007246,HMDB0062660,CN[C@@H](CCC(O)=O)C(O)=O,C6H11NO4,"InChI=1S/C6H11NO4/c1-7-4(6(10)11)2-3-5(8)9/h4,7H,2-3H2,1H3,(H,8,9)(H,10,11)/t4-/m0/s1",XLBVNMSMFQMKEY-BYPYZUCNSA-N,161.1558,161.068807845,1,0,0,2,2,0,0
1612,N-Methylproline,Proline and derivatives,N-Methyl-L-proline; 1-Methyl-L-proline,Single,,475-11-6,643474,90344,,,CN1CCC[C@H]1C(O)=O,C6H11NO2,"InChI=1S/C6H11NO2/c1-7-4-2-3-5(7)6(8)9/h5H,2-4H2,1H3,(H,8,9)/t5-/m0/s1",CWLQUGTUXBXTLF-YFKPBYRVSA-N,129.157,129.078978601,6,0,0,5,6,1,0
152,Nicotinic acid,Pyridinecarboxylic acids,Niacin; Nicotinic acid; Nicotinate; Vitamin B3,Single,"This item is used for ""niacin"" when niacin only includes ""nicotinic acid"" and neither ""nicotinamide"" nor ""niacin equivalents"".",59-67-6,938,15940,FDB001014,HMDB0001488,OC(=O)C1=CN=CC=C1,C6H5NO2,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",PVNIIMVLHYAWGP-UHFFFAOYSA-N,123.1094,123.032028409,5,4,0,1,1,1,0
856,Nicotine,Pyrrolidinylpyridines,(-)-Nicotine; L-Nicotine; S-Nicotine,Single,"Natural product of tobacco. Aso naturally occurs in smaller amounts in plants from the family Solanaceae (such as potatoes, tomatoes, and eggplant).",54-11-5,89594,17688,FDB003968,HMDB0001934,CN1CCC[C@H]1C1=CN=CC=C1,C10H14N2,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",SNICXCGAKADSCV-JTQLQIEISA-N,162.2316,162.115698458,3,7,0,1,1,0,0
566,Paraxanthine,Xanthines,"1,7-Dimethylxanthine",Single,Metabolite of caffeine.,611-59-6,4687,25858,FDB022714,HMDB0001860,CN1C=NC2=C1C(=O)N(C)C(=O)N2,C7H8N4O2,"InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)",QUNWUDVFRNGTCO-UHFFFAOYSA-N,180.164,180.06472552,7,0,0,6,6,0,1
1577,Quinic acid,Quinic acids and derivatives,(-)-Quinic acid; Quinate,Single,Quinic acid possesses 8 possible stereosisomers (four meso forms and two pairs of enantiomers) [pmid: 27513177].,77-95-2,6508,17521,,HMDB0003072,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,C7H12O6,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5-,7+/m1/s1",AAWZDTNXLSGCEK-WYWMIBKRSA-N,192.1666,192.063388116,9,0,0,4,6,7,1
1614,scyllo-Inositol,Cyclohexanols,Scyllitol,Single,,488-59-5,,10642,FDB023828,HMDB0006088,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3+,4+,5-,6-",CDAISMWEOUEBRE-CDRYSYESSA-N,180.1559,180.063388116,6,2,0,5,7,0,0
1580,Theophylline,Xanthines,"1,3-Dimethylxanthine",Single,Structurally similar to caffeine and found in tea and cocoa.,58-55-9,2153,28177,FDB000453,HMDB0001889,CN1C2=C(NC=N2)C(=O)N(C)C1=O,C7H8N4O2,"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)",ZFXYFBGIUFBOJW-UHFFFAOYSA-N,180.164,180.06472552,4,0,0,3,4,0,1
1582,Trigonelline,Alkaloids and derivatives,N-Methylnicotinate; N'-Methylnicotinate; 1-Methylnicotinate; Betaine nicotinate; Caffearine,Single,Metabolite of niacin with no vitamin activity. Occurs in many plants; abundant in coffee.,535-83-1,5570,18123,,HMDB0000875,C[N+]1=CC=CC(=C1)C([O-])=O,C7H7NO2,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,137.136,137.047678473,10,1,1,5,5,2,1
1615,Tryptophan betaine,L-alpha-amino acids,Lenticin; Hypaphorine; L-Hypaphorine; L-Tryptophan betaine,Single,,487-58-1,442106,5832,,HMDB0061115,C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O,C14H18N2O2,"InChI=1S/C14H18N2O2/c1-16(2,3)13(14(17)18)8-10-9-15-12-7-5-4-6-11(10)12/h4-7,9,13,15H,8H2,1-3H3/t13-/m0/s1",AOHCBEAZXHZMOR-ZDUSSCGKSA-N,246.3049,246.13682783,4,0,1,3,6,0,0
1636,Xylitol,Sugar alcohols,D-Xylitol,Single,Xylitol is naturally found in many fruits and vegetables. It is used as a diabetic sweetener.,87-99-0,6912,17151,FDB001134,HMDB0002917,OC[C@H](O)[C@@H](O)[C@H](O)CO,C5H12O5,"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+",HEBKCHPVOIAQTA-SCDXWVJYSA-N,152.1458,152.068473494,1,0,0,1,1,0,0
1646,2-Isopropylmalic acid,Hydroxy fatty acids,2-Isopropylmalate; alpha-Isopropylmalate,Single,,3237-44-3,77,28635,FDB030115,HMDB0000402,CC(C)C(O)(CC(O)=O)C(O)=O,C7H12O5,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)",BITYXLXUCSKTJS-UHFFFAOYSA-N,176.1672,176.068473494,1,0,0,1,1,0,0
83,alpha-Carotene,Carotenes,all-trans-alpha-Carotene,Single,,7488-99-5,4369188,28425,FDB013716,HMDB0003993,C\C(\C=C\C=C(/C)\C=C\C1C(C)=CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,C40H56,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-23,25-28,37H,15-16,24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+",ANVAOWXLWRTKGA-JLTXGRSLSA-N,536.888,536.438201803,97,98,9,360,0,0,51
89,beta-Carotene,Carotenes,Vitamin A; Carotene; all-trans-beta-Carotene,Single,beta-Carotene is the most well-known provitamin A carotenoid.,7235-40-7,5280489,17579,FDB014613,HMDB0000561,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C,C40H56,"InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-22,25-28H,15-16,23-24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+",OENHQHLEOONYIE-JLTXGRSLSA-N,536.888,536.438201803,124,125,10,524,0,0,69
84,beta-Cryptoxanthin,Xanthophylls,Cryptoxanthin; all-trans-beta-Cryptoxanthin,Single,,472-70-8,5281235,10362,FDB012019,HMDB0033844,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O,"InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1",DMASLKHVQRHNES-FKKUPVFPSA-N,552.887,552.433116423,93,86,9,297,0,0,50
838,Lutein/Zeaxanthin,Xanthophylls,Lutein and Zeaxanthin; Lutein + Zeaxanthin; Lutein plus Zeaxanthin; Lutein; trans-Lutein/Zeaxanthin,Combined,"Can abusively be called ""lutein"". This item is used when lutein and zeaxanthin coelute. It is used by default for the intakes unless ""lutein only"" is clearly stated.",,,,,,,,,,,,59,72,8,163,0,0,24
86,Lycopene,Carotenes,all-trans-Lycopene,Single,,502-65-8,446925,15948,FDB015833,HMDB0003000,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCC=C(C)C,C40H56,"InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+",OAIJSZIZWZSQBC-GYZMGTAESA-N,536.888,536.438201803,97,101,10,294,0,0,57
87,Carotenoids,Carotenoids,Total carotenoids,Combined,,,,,,,,,,,,,53,32,4,260,0,0,29
237,alpha-Tocopherol,Tocopherols,Vitamin E; (+)-alpha-Tocopherol; D-alpha-Tocopherol,Single,The most important compound with vitamin E activity.,59-02-9,14985,18145,FDB000565,HMDB0001893,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C,C29H50O2,"InChI=1S/C29H50O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h20-22,30H,9-19H2,1-8H3/t21-,22-,29-/m1/s1",GVJHHUAWPYXKBD-IEOSBIPESA-N,430.7061,430.381080844,102,95,7,287,3,2,69
88,Lutein,Xanthophylls,all-trans-Lutein,Single,"Can coelute with zeaxanthin. This item is only used when ""lutein only"" is clearly stated, otherwise ""Lutein/Zeaxanthin"" should be used.",127-40-2,5281243,28838,FDB015471,HMDB0003233,O[C@@H]1CC(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\[C@H]2C(C)=CC(O)CC2(C)C)C(C)(C)C1,C40H56O2,"InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-25,35-37,41-42H,26-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35?,36-,37+/m1/s1",KBPHJBAIARWVSC-RTIVXWJOSA-N,568.8714,568.428031036,44,29,3,134,0,0,26
85,Zeaxanthin,Xanthophylls,all-trans-Zeaxanthin,Single,Can coelute with lutein.,144-68-3,5280899,27547,FDB019865,HMDB0002789,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,C40H56O2,"InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-24,35-36,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35-,36-/m1/s1",JKQXZKUSFCKOGQ-QAYBQHTQSA-N,568.886,568.428031043,31,18,3,76,0,0,17
262,Myristic acid (14:0),Long-chain fatty acids,Tetradecanoic acid; Myristate,Single,,544-63-8,11005,28875,FDB002890,HMDB0000806,CCCCCCCCCCCCCC(O)=O,C14H28O2,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)",TUNFSRHWOTWDNC-UHFFFAOYSA-N,228.3709,228.20893014,42,53,1,149,1,2,9
242,Palmitic acid (16:0),Long-chain fatty acids,Hexadecanoic acid,Single,,57-10-3,985,15756,FDB011679,HMDB0000220,CCCCCCCCCCCCCCCC(O)=O,C16H32O2,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,256.4241,256.240230268,51,90,2,88,0,4,12
243,Stearic acid (18:0),Long-chain fatty acids,Octadecanoic acid,Single,,57-11-4,5281,28842,FDB002941,HMDB0000827,CCCCCCCCCCCCCCCCCC(O)=O,C18H36O2,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,284.4772,284.271530396,43,74,2,58,0,2,12
411,Arachidic acid (20:0),Long-chain fatty acids,Eicosanoic acid,Single,,506-30-9,10467,28822,FDB002927,HMDB0002212,CCCCCCCCCCCCCCCCCCCC(O)=O,C20H40O2,"InChI=1S/C20H40O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h2-19H2,1H3,(H,21,22)",VKOBVWXKNCXXDE-UHFFFAOYSA-N,312.5304,312.302830524,18,15,1,8,0,3,2
419,Behenic acid (22:0),Very long-chain fatty acids,,Single,,112-85-6,8215,28941,FDB021815,HMDB0000944,CCCCCCCCCCCCCCCCCCCCCC(O)=O,C22H44O2,"InChI=1S/C22H44O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h2-21H2,1H3,(H,23,24)",UKMSUNONTOPOIO-UHFFFAOYSA-N,340.5836,340.334130652,16,15,1,8,0,3,0
420,Lignoceric acid (24:0),Very long-chain fatty acids,,Single,,557-59-5,11197,28866,FDB021823,HMDB0002003,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,C24H48O2,"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)",QZZGJDVWLFXDLK-UHFFFAOYSA-N,368.6367,368.36543078,10,7,1,8,0,2,0
301,Palmitoleic acid (cis-16:1n-7),Long-chain fatty acids,cis-9-Hexadecenoic acid; cis-Palmitoleic acid; Palmitoleate,Single,,373-49-9,445638,28716,FDB011675,HMDB0003229,CCCCCC\C=C/CCCCCCCC(O)=O,C16H30O2,"InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-",SECPZKHBENQXJG-FPLPWBNLSA-N,254.4082,254.224580204,37,59,1,32,1,2,11
311,Oleic acid (cis-18:1n-9),Long-chain fatty acids,cis-9-Octadecenoic acid,Single,,112-80-1,445639,16196,FDB012858,HMDB0000207,CCCCCCCC\C=C/CCCCCCCC(O)=O,C18H34O2,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,282.4614,282.255880332,41,74,2,100,0,1,11
458,cis-Eicosenoic acids (cis-20:1),Long-chain fatty acids,cis-Eicosenoic acid; Eicosenoic acid; 20:1c,Combined,,,,,,,,,,,,,7,4,0,2,0,0,0
568,cis-Cetoleic acid (cis-22:1n-11),Very long-chain fatty acids,cis-11-Docosenoic acid,Single,,1002-96-6,5282771,32428,FDB003005,HMDB0002884,CCCCCCCCCC\C=C/CCCCCCCCCC(O)=O,C22H42O2,"InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h11-12H,2-10,13-21H2,1H3,(H,23,24)/b12-11-",KJDZDTDNIULJBE-QXMHVHEDSA-N,338.5677,338.318480588,1,2,0,0,0,0,0
421,Nervonic acid (cis-24:1n-9),Very long-chain fatty acids,cis-15-Tetracosenoic acid; cis-24:1,Single,,506-37-6,5281120,44247,FDB002934,HMDB0002368,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,C24H46O2,"InChI=1S/C24H46O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h9-10H,2-8,11-23H2,1H3,(H,25,26)/b10-9-",GWHCXVQVJPWHRF-KTKRTIGZSA-N,366.6208,366.349780716,10,10,0,0,0,1,0
318,Mead acid (cis-20:3n-9),Long-chain fatty acids,"all-cis-5,8,11-Eicosatrienoic acid",Single,,20590-32-3,5312531,72865,FDB027529,HMDB0010378,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(O)=O,C20H34O2,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h9-10,12-13,15-16H,2-8,11,14,17-19H2,1H3,(H,21,22)/b10-9-,13-12-,16-15-",UNSRRHDPHVZAHH-YOILPLPUSA-N,306.4828,306.255880332,4,5,0,16,0,0,1
217,Linoleic acid (LA; cis-18:2n-6),Lineolic acids and derivatives,"all-cis-9,12-Octadecadienoic acid",Single,,60-33-3,5280450,17351,FDB012760,HMDB0000673,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,C18H32O2,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,280.4455,280.240230268,49,83,6,186,0,0,13
245,Eicosadienoic acid (cis-20:2n-6),Long-chain fatty acids,"Dihomolinoleic acid; Dihomolinoleate; all-cis-11,14-Eicosadienoic acid; (11Z,14Z)-Eicosadienoic acid; 20:2n6; 20:2n6,9",Single,,5598-38-9,6439848,73731,FDB012619,HMDB0005060,CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O,C20H36O2,"InChI=1S/C20H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10H,2-5,8,11-19H2,1H3,(H,21,22)/b7-6-,10-9-",XSXIVVZCUAHUJO-HZJYTTRNSA-N,308.4986,308.271530396,20,15,1,24,1,0,4
223,Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6),Long-chain fatty acids,"all-cis-8,11,14-Eicosatrienoic acid",Single,,1783-84-2,5280581,53486,FDB023082,HMDB0002925,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,C20H34O2,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13H,2-5,8,11,14-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-",HOBAELRKJCKHQD-QNEBEIHSSA-N,306.4828,306.255880332,34,34,1,33,0,1,10
224,Arachidonic acid (AA; cis-20:4n-6),Long-chain fatty acids,"all-cis-5,8,11,14-Eicosatetraenoic acid; Arachidonate",Single,,506-32-1,444899,15843,FDB011872,HMDB0001043,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,C20H32O2,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",YZXBAPSDXZZRGB-DOFZRALJSA-N,304.4669,304.240230268,43,72,5,77,1,0,13
247,Docosatetraenoic acid (DTA; cis-22:4n-6),Very long-chain fatty acids,"all-cis-7,10,13,16-Docosatetraenoic acid; Adrenic acid; 22:4n-6",Single,,28874-58-0,5497181,53487,FDB022918,HMDB0002226,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O,C22H36O2,"InChI=1S/C22H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-21H2,1H3,(H,23,24)/b7-6-,10-9-,13-12-,16-15-",TWSWSIQAPQLDBP-DOFZRALJSA-N,332.52,332.271530396,18,21,1,39,0,0,4
225,Osbond acid (cis-22:5n-6),Very long-chain fatty acids,"all-cis-4,7,10,13,16-Docosapentaenoic acid; Docosapentaenoic acid (22:5n-6); Docosapentaenoate (22:5n6)",Single,,25182-74-5,6441454,65136,FDB022774,HMDB0001976,CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,C22H34O2,"InChI=1S/C22H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h6-7,9-10,12-13,15-16,18-19H,2-5,8,11,14,17,20-21H2,1H3,(H,23,24)/b7-6-,10-9-,13-12-,16-15-,19-18-",AVKOENOBFIYBSA-WMPRHZDHSA-N,330.5042,330.255880332,10,5,0,16,1,0,2
182,alpha-Linolenic acid (ALA; cis-18:3n-3),Lineolic acids and derivatives,"all-cis-9,12,15-Octadecatrienoic acid",Single,,463-40-1,5280934,27432,FDB012462,HMDB0001388,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,C18H30O2,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-",DTOSIQBPPRVQHS-PDBXOOCHSA-N,278.4296,278.224580204,49,61,5,139,0,0,13
183,EPA (cis-20:5n-3),Long-chain fatty acids,"all-cis-5,8,11,14,17-Eicosapentaenoic acid; Eicosapentaenoate",Single,,10417-94-4,446284,28364,FDB003102,HMDB0001999,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,C20H30O2,"InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-",JAZBEHYOTPTENJ-JLNKQSITSA-N,302.451,302.224580204,65,101,6,288,7,0,13
