ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Microbiota associations,No. of Experimental evidences,Reduced by antibiotics (No. of Publications),Reduced in germ-free animals (No. of Publications),Produced by human faecal bacteria (No. of Publications)
1485,Vanillic acid,M-methoxybenzoic acids and derivatives,4-Hydroxy-3-methoxybenzoic acid,Single,,121-34-6,8468,16632,FDB000846,HMDB0000484,COC1=C(O)C=CC(=C1)C(O)=O,C8H8O4,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,168.148,168.042258738,4,2,2,0,1
1486,Syringic acid,Gallic acid and derivatives,"4-Hydroxy-3,5-dimethoxybenzoic acid",Single,,530-57-4,10742,68329,FDB000514,HMDB0002085,COC1=CC(=CC(OC)=C1O)C(O)=O,C9H10O5,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,198.174,198.052823422,1,1,0,0,1
1487,Salicylic acid,Salicylic acids,2-Hydroxybenzoic acid; o-Salicylic acid,Single,,69-72-7,338,16914,FDB000882,HMDB0001895,OC(=O)C1=CC=CC=C1O,C7H6O3,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,138.122,138.031694053,3,3,1,1,1
1489,Biotin,Biotin and derivatives,,Single,,58-85-5,171548,15956,FDB014510,HMDB0000030,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,C10H16N2O3S,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1",YBJHBAHKTGYVGT-ZKWXMUAHSA-N,244.311,244.088163078,8,1,0,0,1
1537,Proline betaine,Proline and derivatives,"Stachydrine; L-Proline betaine; N,N-Dimethylproline",Single,An abundant component of citrus fruits.,471-87-4,115244,35280,FDB000463,HMDB0004827,C[N+]1(C)CCC[C@H]1C([O-])=O,C7H13NO2,"InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",CMUNUTVVOOHQPW-LURJTMIESA-N,143.1836,143.094628665,2,2,1,0,1
1542,p-Hydroxyphenyllactic acid,Phenylpropanoic acids,2-Hydroxy-3-(4-hydroxyphenyl)propanoic acid; 3-(4-Hydroxyphenyl)lactic acid; 4-Hydroxyphenyllactic acid; 3-(4-Hydroxyphenyl)lactate; 2-Hydroxyphloretic acid,Single,,306-23-0,9378,17385,FDB019021,HMDB0000755,OC(CC1=CC=C(O)C=C1)C(O)=O,C9H10O4,"InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)",JVGVDSSUAVXRDY-UHFFFAOYSA-N,182.1733,182.057908808,1,1,0,0,1
1548,Guaiacol sulfate,Phenylsulfates,2-Methoxyphenyl sulfate,Single,,3233-59-8,22473,133460,,HMDB0060013,COC1=CC=CC=C1OS(O)(=O)=O,C7H8O5S,"InChI=1S/C7H8O5S/c1-11-6-4-2-3-5-7(6)12-13(8,9)10/h2-5H,1H3,(H,8,9,10)",AQTYXAPIHMXAAV-UHFFFAOYSA-N,204.2,204.009244056,1,1,1,0,0
1550,3-Hydroxyhippuric acid,Hippuric acids,m-Hydroxyhippuric acid; 3-Hydroxybenzoylglycine; 3-Hydroxyhippurate,Single,,1637-75-8,450268,70824,FDB023830,HMDB0006116,OC(=O)CNC(=O)C1=CC(O)=CC=C1,C9H9NO4,"InChI=1S/C9H9NO4/c11-7-3-1-2-6(4-7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)",XDOFWFNMYJRHEW-UHFFFAOYSA-N,195.1721,195.053157781,3,1,2,0,0
1553,Cinnamoylglycine,N-acyl-alpha amino acids,N-Cinnamoylglycine; N-trans-Cinnamoylglycine,Single,,16534-24-0,709625,68616,FDB028325,HMDB0011621,OC(=O)CNC(=O)\C=C\C1=CC=CC=C1,C11H11NO3,"InChI=1S/C11H11NO3/c13-10(12-8-11(14)15)7-6-9-4-2-1-3-5-9/h1-7H,8H2,(H,12,13)(H,14,15)/b7-6+",YAADMLWHGMUGQL-VOTSOKGWSA-N,205.2099,205.073893223,1,1,0,1,0
1577,Quinic acid,Quinic acids and derivatives,(-)-Quinic acid; Quinate,Single,Quinic acid possesses 8 possible stereosisomers (four meso forms and two pairs of enantiomers) [pmid: 27513177].,77-95-2,6508,17521,,HMDB0003072,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,C7H12O6,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)/t3-,4-,5-,7+/m1/s1",AAWZDTNXLSGCEK-WYWMIBKRSA-N,192.1666,192.063388116,7,1,0,0,1
1582,Trigonelline,Alkaloids and derivatives,N-Methylnicotinate; N'-Methylnicotinate; 1-Methylnicotinate; Betaine nicotinate; Caffearine,Single,Metabolite of niacin with no vitamin activity. Occurs in many plants; abundant in coffee.,535-83-1,5570,18123,,HMDB0000875,C[N+]1=CC=CC(=C1)C([O-])=O,C7H7NO2,"InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3",WWNNZCOKKKDOPX-UHFFFAOYSA-N,137.136,137.047678473,2,2,1,0,1
1583,Citrulline,L-alpha-amino acids,L-Citrulline; N5-Carbamoyl-L-ornithine; N5-Carbamoyl-ornithine,Single,"Nonprotein amino acid, and important source of endogenous arginine (pmid:17693747). Arginine metabolite by wine lactic acid bacteria (pmid:16534912).",372-75-8,9750,16349,FDB011841,HMDB0000904,N[C@@H](CCCNC(N)=O)C(O)=O,C6H13N3O3,"InChI=1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1",RHGKLRLOHDJJDR-BYPYZUCNSA-N,175.1857,175.095691297,5,3,3,1,1
1584,Formic acid,Carboxylic acids,Formate; Methanoic acid; Formylic acid,Single,,64-18-6,284,30751,FDB012804,HMDB0000142,OC=O,CH2O2,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,46.0254,46.005479308,8,2,0,1,5
1585,Isocitric acid,Tricarboxylic acids and derivatives,Isocitrate,Single,Intermediate in the Krebs cycle.,320-77-4,1198,30887,FDB003281,HMDB0000193,OC(C(CC(O)=O)C(O)=O)C(O)=O,C6H8O7,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)",ODBLHEXUDAPZAU-UHFFFAOYSA-N,192.1235,192.02700261,1,1,0,0,1
1591,Indole-3-carboxylic acid glucuronide,Prostaglandins and related compounds,3-Indoleformate glucuronide; Indolecarboxylic acid glucuronide,Single,,,53481645,68486,FDB029324,HMDB0013189,O[C@@H]1[C@@H](O)[C@H](OC(=O)C2=CNC3=CC=CC=C23)OC([C@H]1O)C(O)=O,C15H15NO8,"InChI=1S/C15H15NO8/c17-9-10(18)12(13(20)21)23-15(11(9)19)24-14(22)7-5-16-8-4-2-1-3-6(7)8/h1-5,9-12,15-19H,(H,20,21)/t9-,10-,11+,12?,15-/m0/s1",BDNWJTRKUBXAGH-DOVARBIBSA-N,337.2815,337.079766461,1,1,1,0,0
1594,Pimelic acid,Medium-chain fatty acids,"Heptanedioic acid; Heptane-1,7-dioic acid",Single,,111-16-0,385,30531,FDB022283,HMDB0000857,OC(=O)CCCCCC(O)=O,C7H12O4,"InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)",WLJVNTCWHIRURA-UHFFFAOYSA-N,160.1678,160.073558872,8,1,0,0,1
1597,3-Hydroxyphenylpropionic acid,Phenylpropanoic acids,3-Hydroxyphenylpropionate; 3-(3'-Hydroxyphenyl)propionic acid; 3-(3-Hydroxyphenyl)propionic acid; 3-(3-Hydroxyphenyl)propanoic acid; Dihydro-3-coumaric acid; m-Hydroxyphenylpropionate,Single,,621-54-5,91,1427,FDB021993,HMDB0000375,OC(=O)CCC1=CC(O)=CC=C1,C9H10O3,"InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)",QVWAEZJXDYOKEH-UHFFFAOYSA-N,166.1739,166.062994186,42,3,6,4,15
1598,Acetylcarnitine,Acyl carnitines,O-Acetylcarnitine; L-Acetylcarnitine; O-Acetyl-L-carnitine; Acetyl-L-carnitine,Single,,3040-38-8,7045767,57589,FDB021904,HMDB0000201,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,C9H17NO4,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",RDHQFKQIGNGIED-MRVPVSSYSA-N,203.238,203.115758031,1,1,1,0,0
1599,Phenylacetylglutamine,N-acyl-alpha amino acids,N2-Phenylacetyl-L-glutamine; alpha-N-Phenylacetyl-L-glutamine,Single,,28047-15-6,92258,17884,FDB023896,HMDB0006344,NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O,C13H16N2O4,"InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)/t10-/m0/s1",JFLIEFSWGNOPJJ-JTQLQIEISA-N,264.2771,264.11100701,1,1,1,0,0
1610,Glyceric acid,Sugar acids and derivatives,D-Glyceric acid; Glycerate,Single,,473-81-4,439194,32398,FDB012242,HMDB0000139,OC[C@@H](O)C(O)=O,C3H6O4,"InChI=1S/C3H6O4/c4-1-2(5)3(6)7/h2,4-5H,1H2,(H,6,7)/t2-/m1/s1",RBNPOMFGQQGHHO-UWTATZPHSA-N,106.0773,106.02660868,2,2,1,1,0
1612,N-Methylproline,Proline and derivatives,N-Methyl-L-proline; 1-Methyl-L-proline,Single,,475-11-6,643474,90344,,,CN1CCC[C@H]1C(O)=O,C6H11NO2,"InChI=1S/C6H11NO2/c1-7-4-2-3-5(7)6(8)9/h5H,2-4H2,1H3,(H,8,9)/t5-/m0/s1",CWLQUGTUXBXTLF-YFKPBYRVSA-N,129.157,129.078978601,1,1,0,1,0
1613,Threonic acid,Sugar acids and derivatives,L-Threonic acid; Threonate,Single,L-Threonic acid is a metabolite of ascorbic acid (vitamin C).,3909-12-4,5460407,15908,FDB022331,HMDB0000943,OC[C@H](O)[C@@H](O)C(O)=O,C4H8O5,"InChI=1S/C4H8O5/c5-1-2(6)3(7)4(8)9/h2-3,5-7H,1H2,(H,8,9)/t2-,3+/m0/s1",JPIJQSOTBSSVTP-STHAYSLISA-N,136.1033,136.037173366,1,1,1,0,0
1638,Lysine,L-alpha-amino acids,L-Lysine,Single,,56-87-1,5962,18019,FDB000474,HMDB0000182,NCCCC[C@H](N)C(O)=O,C6H14N2O2,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KDXKERNSBIXSRK-YFKPBYRVSA-N,146.1876,146.105527702,4,2,3,0,1
1641,Creatine,Alpha amino acids and derivatives,N-Methyl-N-guanylglycine; (alpha-Methylguanido)acetic acid,Single,,57-00-1,586,16919,FDB005403,HMDB0000064,CN(CC(O)=O)C(N)=N,C4H9N3O2,"InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)",CVSVTCORWBXHQV-UHFFFAOYSA-N,131.1332,131.069476547,1,1,1,0,0
1685,Methylhistidine,Histidine and derivatives,Methyl-L-histidine; 1/3-Methylhistidine,Combined,Undefined chemical structure. Histidine methylated at unknown position.,,,,,,,,,,,,1,1,1,0,0
1686,Trimethylamine N-oxide,Trialkyl amine oxides,TMAO; Trimethylamine oxide; Trimethyloxamine,Single,"Generated from choline, betaine, and carnitine via gut microbial metabolism. Formed from trimethylamine (TMA) in the liver.",1184-78-7,1145,15724,FDB010413,HMDB0000925,C[N+](C)(C)[O-],C3H9NO,"InChI=1S/C3H9NO/c1-4(2,3)5/h1-3H3",UYPYRKYUKCHHIB-UHFFFAOYSA-N,75.1097,75.068413915,22,2,10,6,0
1690,Indolepropionic acid,Indolyl carboxylic acids and derivatives,3-Indolepropionic acid; Indolepropionate; 1H-Indole-3-propionic acid; IPA; Indole-3-propionate; Indole-3-propionic acid,Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Metabolite of tryptophan, produced by bacteria (Fig 2, pmid:29902437). Gut microbiota metabolite of tryptophan (Fig 1, pmid:30120222).",830-96-6,3744,43580,FDB000941,HMDB0002302,OC(=O)CCC1=CNC2=CC=CC=C12,C11H11NO2,"InChI=1S/C11H11NO2/c13-11(14)6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6H2,(H,13,14)",GOLXRNDWAUTYKT-UHFFFAOYSA-N,189.2105,189.078978601,22,3,1,2,9
1691,3-Phenylpropionic acid,Phenylpropanoic acids,3-Phenylpropanoic acid; Benzenepropanoic acid; Hydrocinnamic acid; Dihydrocinnamic acid; 3-Phenylpropionate; Phenylpropionate,Single,Microbial gut metabolite derived from amino acids (Donia 2015).,501-52-0,107,28631,FDB008271,HMDB0000764,OC(=O)CCC1=CC=CC=C1,C9H10O2,"InChI=1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)",XMIIGOLPHOKFCH-UHFFFAOYSA-N,150.1745,150.068079564,36,3,2,1,15
1692,4-Hydroxyproline,Proline and derivatives,trans-4-Hydroxyproline; trans-4-Hydroxy-L-proline; L-Hydroxyproline; Hydroxyproline,Single,A common non-proteinogenic amino acid and a major collagen component.,51-35-4,5810,18095,FDB013511,HMDB0000725,O[C@H]1CN[C@@H](C1)C(O)=O,C5H9NO3,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1",PMMYEEVYMWASQN-DMTCNVIQSA-N,131.1299,131.058243159,1,1,1,0,0
1700,Pipecolic acid,L-alpha-amino acids,Pipecolate; L-Pipecolic acid; L-(-)-Pipecolic acid; (S)-2-Piperidinecarboxylic acid; L-Homoproline; L-Pipecolinic acid,Single,"In normal subjects, plasma pipecolic acid is mainly composed of L-isomers and a few D-isomers, but urine pipecolic acid has a high proportion of D-isomers.",3105-95-1,439227,30913,FDB000546,HMDB0000716,OC(=O)[C@@H]1CCCCN1,C6H11NO2,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1",HXEACLLIILLPRG-YFKPBYRVSA-N,129.157,129.078978601,1,1,0,1,0
1701,myo-Inositol,Cyclohexanols,meso-Inositol; iso-Inositol; Inositol,Single,,87-89-8,,17268,FDB010547,HMDB0000211,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,C6H12O6,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",CDAISMWEOUEBRE-GPIVLXJGSA-N,180.1559,180.063388116,1,1,1,0,0
1703,3-Methyl-2-oxobutyric acid,Short-chain keto acids and derivatives,3-Methyl-2-oxobutyrate; 3-Methyl-2-oxobutanoic acid; 2-Oxoisovaleric acid; 2-Ketoisovaleric acid; alpha-Ketoisovaleric acid; alpha-Ketoisovalerate,Single,,759-05-7,49,16530,FDB012250,HMDB0000019,CC(C)C(=O)C(O)=O,C5H8O3,"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",QHKABHOOEWYVLI-UHFFFAOYSA-N,116.1152,116.047344122,2,2,1,1,0
1704,4-Methyl-2-oxovaleric acid,Short-chain keto acids and derivatives,4-Methyl-2-oxopentanoic acid; 2-Ketoisocaproic acid; alpha-Ketoisocaproic acid; Ketoleucine,Single,,816-66-0,70,48430,FDB012607,HMDB0000695,CC(C)CC(=O)C(O)=O,C6H10O3,"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",BKAJNAXTPSGJCU-UHFFFAOYSA-N,130.1418,130.062994186,5,2,2,1,0
1707,Benzoic acid,Benzoic acids,Benzoate,Single,,65-85-0,243,30746,FDB008739,HMDB0001870,OC(=O)C1=CC=CC=C1,C7H6O2,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,122.123,122.036779433,13,2,0,1,5
1719,4-Hydroxyphenylacetic acid,1-hydroxy-2-unsubstituted benzenoids,4-Hydroxyphenylacetate; p-Hydroxyphenylacetic acid; Hydroxyphenylacetic acid,Single,,156-38-7,127,18101,FDB010534,HMDB0000020,OC(=O)CC1=CC=C(O)C=C1,C8H8O3,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",XQXPVVBIMDBYFF-UHFFFAOYSA-N,152.1473,152.047344122,35,3,4,2,10
1785,Methylmalonic acid (MMA),Dicarboxylic acids and derivatives,Isosuccinic acid; 2-Methyl-propanedioic acid,Single,Inverse biomarker of vitamin B12.,516-05-2,487,30860,FDB021905,HMDB0000202,CC(C(O)=O)C(O)=O,C4H6O4,"InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)",ZIYVHBGGAOATLY-UHFFFAOYSA-N,118.088,118.02660868,3,2,1,0,2
1786,Epicatechin,Catechins,"(-)-Epicatechin ; (2R,3R)-(-)-Epicatechin",Single,,490-46-0,72276,90,FDB002576,HMDB0001871,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,C15H14O6,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",PFTAWBLQPZVEMU-UKRRQHHQSA-N,290.2681,290.07903818,1,1,0,0,1
1789,"5-(3',4',5'-Trihydroxyphenyl)-gamma-valerolactone",Pyrogallols and derivatives,,Single,,,44389277,134255,FDB029854,HMDB0041691,OC1=CC(CC2CCC(=O)O2)=CC(O)=C1O,C11H12O5,"InChI=1S/C11H12O5/c12-8-4-6(5-9(13)11(8)15)3-7-1-2-10(14)16-7/h4-5,7,12-13,15H,1-3H2",CZVAQLJEUUFQCH-UHFFFAOYSA-N,224.21,224.068473494,4,1,0,0,2
1790,"5-(3',4'-Dihydroxyphenyl)-gamma-valerolactone",Catechols,"delta-(3,4-Dihydroxyphenyl)-gamma-valerolactone",Single,,21618-92-8,152432,89285,FDB029853,HMDB0029185,OC1=C(O)C=C(CC2CCC(=O)O2)C=C1,C11H12O4,"InChI=1S/C11H12O4/c12-9-3-1-7(6-10(9)13)5-8-2-4-11(14)15-8/h1,3,6,8,12-13H,2,4-5H2",ZNXXWTPQHVLMQT-UHFFFAOYSA-N,208.2106,208.073558872,13,1,0,0,5
1794,Pyridoxal,Pyridoxals and derivatives,,Single,Pyridoxal is a form of vitamin B6.,66-72-8,1050,17310,FDB011169,HMDB0001545,CC1=NC=C(CO)C(C=O)=C1O,C8H9NO3,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",RADKZDMFGJYCBB-UHFFFAOYSA-N,167.162,167.058243159,2,2,1,1,0
1811,Conjugated linoleic acids (CLA; trans-18:2-CLA),Long-chain fatty acids,Conjugated linoleic acid,Combined,Conjugated linoleic acids (CLA) are a family of at least 28 isomers of linoleic acid found mostly in the meat and dairy products derived from ruminants. The double bonds of CLAs are conjugated and separated by a single bond (e.g. rumenic acid).,,,,,,,,,,,,2,1,0,0,1
1819,Acetic acid (2:0),Carboxylic acids,Acetate; Ethanoic acid; Ethylic acid; Methanecarboxylic acid,Single,Major end-product of bacterial metabolism in the large bowel (Cummings 1997).,64-19-7,176,15366,FDB019725,HMDB0000042,CC(O)=O,C2H4O2,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,60.052,60.021129372,41,3,8,3,11
1820,Propionic acid (3:0),Carboxylic acids,Propionate; Propanoate; Propanoic acid; Methyl acetic acid,Single,Major end-product of bacterial metabolism in the large bowel (Cummings 1997). Microbial metabolite identified in gut (table 1 from Donia 2015).,79-09-4,1032,30768,FDB031132,HMDB0000237,CCC(O)=O,C3H6O2,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N,74.0785,74.036779436,44,3,9,4,11
1822,Isobutyric acid (4:0),Carboxylic acids,Isobutyrate; 2-Methylpropionic acid; 2-Methylpropionate; 2-Methylpropanoic acid; 2-Methylpropanoate; Isobutanoic acid; Isobutanoate,Single,Microbial metabolite derived from SCFAs but also from amino acids. Many of the less-common SCFAs are also the products of reductive amino acid metabolism (Donia 2015).,79-31-2,6590,16135,FDB003277,HMDB0001873,CC(C)C(O)=O,C4H8O2,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)",KQNPFQTWMSNSAP-UHFFFAOYSA-N,88.1051,88.0524295,16,3,4,3,5
1824,Valeric acid (5:0),Straight chain fatty acids,Valerate; Pentanoic acid; Pentanoate; Valerianic acid; C5:0,Single,Microbial metabolite derived from SCFAs but also from amino acids. Many of the less-common SCFAs are also the products of reductive amino acid metabolism (Donia 2015).,109-52-4,7991,17418,FDB003230,HMDB0000892,CCCCC(O)=O,C5H10O2,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)",NQPDZGIKBAWPEJ-UHFFFAOYSA-N,102.1317,102.068079564,12,3,2,4,4
1825,Isovaleric acid (5:0),Methyl-branched fatty acids,Isovalerate; 3-Methylbutanoic acid; 3-Methylbutanoate; 3-Methylbutyric acid; 3-Methylbutyrate; Isopentanoic acid; Isopentanoate,Single,Microbial metabolite derived from SCFAs but also from amino acids. Many of the less-common SCFAs are also the products of reductive amino acid metabolism (Donia 2015).,503-74-2,10430,28484,FDB001324,HMDB0000718,CC(C)CC(O)=O,C5H10O2,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",GWYFCOCPABKNJV-UHFFFAOYSA-N,102.1317,102.068079564,9,3,2,3,2
1827,Cholic acid,"Trihydroxy bile acids, alcohols and derivatives","3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanoic acid; CA",Single,"Together with chenodeoxycholic acid, one of the two primary bile acid synthesized in the human liver (pmid:16299351).",81-25-4,221493,16359,FDB012810,HMDB0000619,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,C24H40O5,"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1",BHQCQFFYRZLCQQ-OELDTZBJSA-N,408.5714,408.28757439,5,2,3,2,0
1829,Deoxycholic acid,"Dihydroxy bile acids, alcohols and derivatives","3alpha,12alpha-Dihydroxy-5beta-cholanoic acid; DCA",Single,"Microbial metabolite identified in gut (table 1 from Donia 2015). Secondary bile acid derived from cholic acid (CA) by gut bacteria. Toxic to human cells (hepatotoxicity, colon cancer).",83-44-3,222528,28834,FDB012780,HMDB0000626,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,C24H40O4,"InChI=1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16-,17+,18-,19+,20+,21+,23+,24-/m1/s1",KXGVEGMKQFWNSR-LLQZFEROSA-N,392.572,392.292659768,16,3,1,1,4
1830,Chenodeoxycholic acid,"Dihydroxy bile acids, alcohols and derivatives","3alpha,7alpha-Dihydroxy-5beta-cholanoic acid; Chenic acid; Chenodiol; CDCA",Single,"Together with cholic acid, one of the two primary bile acid synthesized in the human liver (pmid:16299351).",474-25-9,10133,16755,FDB022087,HMDB0000518,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,C24H40O4,"InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,20-,22+,23+,24-/m1/s1",RUDATBOHQWOJDD-BSWAIDMHSA-N,392.572,392.292659768,4,2,2,0,2
1832,beta-Muricholic acid,"Trihydroxy bile acids, alcohols and derivatives","3alpha,6beta,7beta-Trihydroxy-5beta-cholanoic acid; beta-Muricholate; beta-MCA",Single,Primary bile acid in rodents (pmid:26939849).,2393-59-1,5283853,81298,FDB022031,HMDB0000415,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,C24H40O5,"InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21+,22-,23-,24-/m1/s1",DKPMWHFRUGMUKF-CRKPLTDNSA-N,408.5714,408.28757439,1,1,0,1,0
1833,omega-Muricholic acid,"Trihydroxy bile acids, alcohols and derivatives","3alpha,6alpha,7beta-Trihydroxy-5beta-cholanoic acid; omega-Muricholate; omega-MCA",Single,,6830-03-1,5283851,81299,FDB021983,HMDB0000364,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)[C@H](O)[C@]2([H])C[C@H](O)CC[C@]12C,C24H40O5,"InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14-,15-,16+,17+,18+,20+,21-,22-,23-,24-/m1/s1",DKPMWHFRUGMUKF-NTPBNISXSA-N,408.5714,408.28757439,1,1,0,1,0
