"node","Class","true_name"
"PM1926","Exposome (chemical)","7H-Benzo[c]fluorene"
"PM1927","Exposome (chemical)","Bergapten"
"PM1936","Exposome (chemical)","Pyracarbolid"
"PM1956","Exposome (chemical)","Thidiazuron"
"PM1971","Exposome (chemical)","Carbofuran"
"PM1976","Exposome (chemical)","Mono-n-butyl phthalate"
"PM1977","Exposome (chemical)","Mexacarbate"
"PM1979","Exposome (chemical)","Dioxacarb"
"PM2111","Exposome (chemical)","1-Nitropyrene"
"PM2134","Exposome (chemical)","Benzo[a]pyrene"
"PM2151","Exposome (chemical)","2,4,4'-Trichlorobiphenyl (PCB 28)"
"PM2187","Exposome (chemical)","Tetrachloronaphthalene"
"PM2198","Exposome (chemical)","Triisobutyl phosphate"
"PM2260","Exposome (chemical)","Mono(2-ethylhexyl) phthalate"
"PM2286","Exposome (chemical)","Testosterone"
"PM2325","Exposome (chemical)","Dibenzo[a,l]pyrene"
"PM2383","Exposome (chemical)","3,3',4,4'-Tetrachloroazobenzene"
"PM2532","Exposome (chemical)","Hydrocortisone"
"PM2540","Exposome (chemical)","Perfluoroheptanoic acid (PFHpA)"
"PM2644","Exposome (chemical)","Bis(2-ethylhexyl) phthalate"
"PM2688","Exposome (chemical)","Perfluorohexanesulfonic acid (PFHxS)"
"PM2850","Exposome (chemical)","Tris(4-isopropylphenyl) phosphate"
"PM2871","Exposome (chemical)","Perfluorononanoic acid (PFNA)"
"PM2654","Exposome (chemical)","2,2',3,3',4,4',5-Heptachlorobiphenyl (PCB 170)"
"class_Bacilli","Gut microbiome","class_Bacilli"
"order_Lactobacillales","Gut microbiome","order_Lactobacillales"
"family_Streptococcaceae","Gut microbiome","family_Streptococcaceae"
"class_Betaproteobacteria","Gut microbiome","class_Betaproteobacteria"
"order_Burkholderiales","Gut microbiome","order_Burkholderiales"
"family_Clostridiaceae.1","Gut microbiome","family_Clostridiaceae.1"
"family_Rikenellaceae","Gut microbiome","family_Rikenellaceae"
"family_Sutterellaceae","Gut microbiome","family_Sutterellaceae"
"genus_Alistipes","Gut microbiome","Alistipes"
"genus_Clostridium.sensu.stricto","Gut microbiome","Clostridium.sensu.stricto"
"genus_Eggerthella","Gut microbiome","Eggerthella"
"genus_Odoribacter","Gut microbiome","Odoribacter"
"genus_Parasutterella","Gut microbiome","Parasutterella"
"genus_Roseburia","Gut microbiome","Roseburia"
"genus_Barnesiella","Gut microbiome","Barnesiella"
"genus_Clostridium.IV","Gut microbiome","Clostridium.IV"
"genus_unclassified_Ruminococcaceae","Gut microbiome","unclassified_Ruminococcaceae"
"family_Peptostreptococcaceae","Gut microbiome","family_Peptostreptococcaceae"
"family_unclassified_Clostridiales","Gut microbiome","family_unclassified_Clostridiales"
"genus_Clostridium.XI","Gut microbiome","Clostridium.XI"
"genus_Clostridium.XlVa","Gut microbiome","Clostridium.XlVa"
"genus_unclassified_Clostridiales","Gut microbiome","unclassified_Clostridiales"
"phylum_Verrucomicrobia","Gut microbiome","phylum_Verrucomicrobia"
"class_Verrucomicrobiae","Gut microbiome","class_Verrucomicrobiae"
"order_Verrucomicrobiales","Gut microbiome","order_Verrucomicrobiales"
"family_Verrucomicrobiaceae","Gut microbiome","family_Verrucomicrobiaceae"
"genus_Akkermansia","Gut microbiome","Akkermansia"
"genus_Oscillibacter","Gut microbiome","Oscillibacter"
"genus_Parabacteroides","Gut microbiome","Parabacteroides"
"genus_unclassified_Coriobacteriaceae","Gut microbiome","unclassified_Coriobacteriaceae"
"family_Porphyromonadaceae","Gut microbiome","family_Porphyromonadaceae"
"family_Veillonellaceae","Gut microbiome","family_Veillonellaceae"
"genus_Butyricimonas","Gut microbiome","Butyricimonas"
"genus_Veillonella","Gut microbiome","Veillonella"
"class_unclassified_Firmicutes","Gut microbiome","class_unclassified_Firmicutes"
"order_unclassified_Firmicutes","Gut microbiome","order_unclassified_Firmicutes"
"family_unclassified_Firmicutes","Gut microbiome","family_unclassified_Firmicutes"
"genus_unclassified_Firmicutes","Gut microbiome","unclassified_Firmicutes"
"genus_Faecalibacterium","Gut microbiome","Faecalibacterium"
"phylum_unclassified_Bacteria","Gut microbiome","phylum_unclassified_Bacteria"
"class_unclassified_Bacteria","Gut microbiome","class_unclassified_Bacteria"
"order_unclassified_Bacteria","Gut microbiome","order_unclassified_Bacteria"
"family_unclassified_Bacteria","Gut microbiome","family_unclassified_Bacteria"
"genus_unclassified_Bacteria","Gut microbiome","unclassified_Bacteria"
"family_Prevotellaceae","Gut microbiome","family_Prevotellaceae"
"genus_unclassified_Erysipelotrichaceae","Gut microbiome","unclassified_Erysipelotrichaceae"
"genus_Butyricicoccus","Gut microbiome","Butyricicoccus"
"genus_Clostridium.XlVb","Gut microbiome","Clostridium.XlVb"
"family_Clostridiales_Incertae.Sedis.XIII","Gut microbiome","family_Clostridiales_Incertae.Sedis.XIII"
"genus_Anaerovorax","Gut microbiome","Anaerovorax"
"genus_Bilophila","Gut microbiome","Bilophila"
"phylum_Bacteroidetes","Gut microbiome","phylum_Bacteroidetes"
"class_Bacteroidia","Gut microbiome","class_Bacteroidia"
"order_Bacteroidales","Gut microbiome","order_Bacteroidales"
"family_Bacteroidaceae","Gut microbiome","family_Bacteroidaceae"
"genus_Bacteroides","Gut microbiome","Bacteroides"
"genus_unclassified_Clostridiales_Incertae.Sedis.XIII","Gut microbiome","unclassified_Clostridiales_Incertae.Sedis.XIII"
"genus_Dorea","Gut microbiome","Dorea"
"phylum_Firmicutes","Gut microbiome","phylum_Firmicutes"
"class_Clostridia","Gut microbiome","class_Clostridia"
"class_Gammaproteobacteria","Gut microbiome","class_Gammaproteobacteria"
"order_Clostridiales","Gut microbiome","order_Clostridiales"
"order_Enterobacteriales","Gut microbiome","order_Enterobacteriales"
"family_Enterobacteriaceae","Gut microbiome","family_Enterobacteriaceae"
"genus_Coprococcus","Gut microbiome","Coprococcus"
"genus_Holdemania","Gut microbiome","Holdemania"
"phylum_Proteobacteria","Gut microbiome","phylum_Proteobacteria"
"family_Ruminococcaceae","Gut microbiome","family_Ruminococcaceae"
"genus_Flavonifractor","Gut microbiome","Flavonifractor"
"genus_Streptococcus","Gut microbiome","Streptococcus"
"phylum_Actinobacteria","Gut microbiome","phylum_Actinobacteria"
"class_Actinobacteria","Gut microbiome","class_Actinobacteria"
"class_Erysipelotrichia","Gut microbiome","class_Erysipelotrichia"
"order_Coriobacteriales","Gut microbiome","order_Coriobacteriales"
"order_Erysipelotrichales","Gut microbiome","order_Erysipelotrichales"
"family_Coriobacteriaceae","Gut microbiome","family_Coriobacteriaceae"
"family_Erysipelotrichaceae","Gut microbiome","family_Erysipelotrichaceae"
"genus_Lachnospiracea_incertae_sedis","Gut microbiome","Lachnospiracea_incertae_sedis"
"genus_Prevotella","Gut microbiome","Prevotella"
"genus_Ruminococcus","Gut microbiome","Ruminococcus"
"genus_Anaerotruncus","Gut microbiome","Anaerotruncus"
"genus_Clostridium.XVIII","Gut microbiome","Clostridium.XVIII"
"class_Deltaproteobacteria","Gut microbiome","class_Deltaproteobacteria"
"order_Desulfovibrionales","Gut microbiome","order_Desulfovibrionales"
"family_Desulfovibrionaceae","Gut microbiome","family_Desulfovibrionaceae"
"genus_unclassified_Porphyromonadaceae","Gut microbiome","unclassified_Porphyromonadaceae"
"genus_Blautia","Gut microbiome","Blautia"
"genus_Pseudoflavonifractor","Gut microbiome","Pseudoflavonifractor"
"class_Negativicutes","Gut microbiome","class_Negativicutes"
"order_Selenomonadales","Gut microbiome","order_Selenomonadales"
"family_Acidaminococcaceae","Gut microbiome","family_Acidaminococcaceae"
"family_Lachnospiraceae","Gut microbiome","family_Lachnospiraceae"
"genus_Collinsella","Gut microbiome","Collinsella"
"genus_Erysipelotrichaceae_incertae_sedis","Gut microbiome","Erysipelotrichaceae_incertae_sedis"
"genus_Phascolarctobacterium","Gut microbiome","Phascolarctobacterium"
"genus_unclassified_Lachnospiraceae","Gut microbiome","unclassified_Lachnospiraceae"
"pHILIC_137.0457_3.1","Metabolome","Hypoxanthine"
"pHILIC_104.0705_8.1","Metabolome","2-Aminobutyrate"
"pHILIC_146.1175_11","Metabolome","Acetylcholine"
"pHILIC_276.1548_13.2","Metabolome","gamma-glutamyl-epsilon-lysine"
"nHILIC_303.2327_1","Metabolome","C20:4 FA"
"nHILIC_230.0127_2.1","Metabolome","C8H9NO5S"
"nHILIC_181.0367_6.8","Metabolome","1-Methyluric acid"
"nHILIC_132.0302_8.3","Metabolome","Iminodiacetate (IDA)"
"nHILIC_183.0294_2.1","Metabolome","C8H8O5"
"nHILIC_281.089_2.2","Metabolome","C11H14N4O5"
"nHILIC_165.0404_7.8","Metabolome","Arabonate | Xylonate(3)"
"nHILIC_287.052_8.1","Metabolome","Orotidine"
"nHILIC_349.0752_8.5","Metabolome","C13H18O11"
"nHILIC_275.0649_8.9","Metabolome","Unknown_nHILIC_275.0649_8.9"
"nHILIC_485.1492_3.9","Metabolome","C18H29O15"
"nHILIC_257.0777_2.2","Metabolome","5-methyluridine (ribothymidine)"
"nHILIC_137.0243_1","Metabolome","Hydroxybenzoic acid"
"pRPLC_195.0875_4.6","Metabolome","Caffeine"
"pRPLC_302.2328_5.6","Metabolome","C9:0 AC"
"pRPLC_505.2774_9.3","Metabolome","C24H36N6O6"
"nRPLC_213.1497_8.1","Metabolome","""C12:1,OH FA"""
"nRPLC_229.1445_7.4","Metabolome","""C12:0,DC FA"""
"nRPLC_165.0418_1.9","Metabolome","1-Methylxanthine"
"nRPLC_169.1234_8","Metabolome","C10:1 FA(1)"
"nRPLC_215.1653_8.4","Metabolome","""C12:0,OH FA(1)"""
"nRPLC_281.1394_9","Metabolome","C15H22O5"
"nRPLC_409.3322_11.2","Metabolome","MG(22:2)"
"nRPLC_489.3582_11","Metabolome","C30H50O5(1)"
"nRPLC_507.3686_10.6","Metabolome","C30H52O6"
"nRPLC_453.3221_10.1","Metabolome","C26H46O6(1)"
"nRPLC_295.2278_9.9","Metabolome","""C18:2,OH FA"""
"nRPLC_315.2541_9.4","Metabolome","MG(15:0)(1)"
"nRPLC_267.1966_9.2","Metabolome","""C16:2,OH FA"""
"nRPLC_239.1653_8.5","Metabolome","""C14:2,OH FA"""
"nRPLC_267.1238_8.3","Metabolome","C14H20O5"
"nRPLC_209.1184_8.2","Metabolome","C12H18O3(2)"
"nRPLC_213.1498_7.8","Metabolome","""C12:1, OH FA"""
"nRPLC_187.1339_7.1","Metabolome","""C10:0,OH FA(1)"""
"nRPLC_411.127_3.6","Metabolome","N6-Carbamoyl-L-threonyladenosine"
"nRPLC_203.002_1.9","Metabolome","4-Methylcatechol sulfate"
"pHILIC_200.128_6.8","Metabolome","C10H17NO3"
"nHILIC_267.0719_4.2","Metabolome","C10H12N4O5"
"nHILIC_335.0495_8.3","Metabolome","Uric acid"
"nHILIC_459.1407_2.1","Metabolome","C22H24N2O9"
"nHILIC_87.045_4.2","Metabolome","Butyric acid|Isobutyric acid"
"nHILIC_129.0192_7.6","Metabolome","C5H6O4"
"nHILIC_116.0352_7.5","Metabolome","C4H7NO3"
"nHILIC_160.0615_7.2","Metabolome","N-acetylthreonine"
"nHILIC_539.2489_6.5","Metabolome","C27H40O11"
"nHILIC_89.0243_5.8","Metabolome","L-Lactic acid"
"pRPLC_246.17_1.9","Metabolome","C5:0 AC"
"pRPLC_357.2788_9.5","Metabolome","C24H38O3(2)"
"nRPLC_230.9968_4.1","Metabolome","methyl-4-hydroxybenzoate sulfate"
"nRPLC_391.2856_9.5","Metabolome","Chenodeoxycholic Acid(2)"
"nRPLC_431.3166_10.4","Metabolome","C27H44O4(2)"
"nRPLC_243.1601_8.2","Metabolome","""C13:0,DC FA(3)"""
"nRPLC_247.1703_9.4","Metabolome","C16:4 FA"
"nRPLC_397.2054_9.6","Metabolome","Pregnanolone sulfate"
"nRPLC_297.1343_8.3","Metabolome","C15H22O6(3)"
"nRPLC_577.255_7","Metabolome","C32H38N2O8"
"pHILIC_257.1127_2","Metabolome","C11H16N2O5"
"pHILIC_360.2736_6.1","Metabolome","""C18:0,OH AC"""
"nHILIC_194.0458_6.9","Metabolome","Hydroxyhippurate(2)"
"nHILIC_238.0929_7.3","Metabolome","ethyl glucuronide"
"nHILIC_280.0754_8.9","Metabolome","Unknown_nHILIC_280.0754_8.9 related to nHILIC_275.0649_8.9"
"nHILIC_194.0458_4.6","Metabolome","Hydroxyhippurate(3)"
"nHILIC_204.9811_1.1","Metabolome","""1,2,3-benzenetriol sulfate"""
"pRPLC_269.1385_8","Metabolome","C14H20O5(2)_pos"
"nRPLC_187.134_7.5","Metabolome","""C10:0,OH FA(2)"""
"nRPLC_513.27_8.6","Metabolome","C26H42O10"
"nRPLC_165.0557_3.2","Metabolome","Dihydro-3-coumaric acid"
"nRPLC_159.1026_5.1","Metabolome","""C8:0,OH FA(1)"""
"nRPLC_499.2911_8.7","Metabolome","C26H44O9"
"nRPLC_293.2122_9.9","Metabolome","""C18:3,OH FA(1)"""
"nRPLC_467.2649_8.8","Metabolome","""5alpha-Androstan-3alpha,17beta-diol 17-glucuronide(2)"""
"pHILIC_750.5399_3.1","Metabolome","PE(P-38:5)(2)"
"pHILIC_221.0917_6.6","Metabolome","C11H12N2O3(2)"
"pHILIC_171.0763_7.5","Metabolome","C7H10N2O3"
"pHILIC_147.0763_9.7","Metabolome","L-Glutamine"
"pHILIC_249.1077_10.8","Metabolome","gamma-glutamylthreonine(2)"
"pHILIC_203.1501_13.6","Metabolome","Symmetric dimethylarginine"
"pHILIC_175.1188_15.1","Metabolome","L-Arginine"
"pHILIC_309.1649_15.6","Metabolome","Fructoselysine"
"nHILIC_243.0509_8.1","Metabolome","C10H12O7"
"nHILIC_135.0299_7.9","Metabolome","Threonic acid"
"nHILIC_165.0405_8.5","Metabolome","Arabonate | Xylonate(1)"
"nHILIC_296.0378_11","Metabolome","L-Cysteinylglycine disulfide"
"nHILIC_146.0276_5.1","Metabolome","C8H5NO2"
"nHILIC_133.0506_2.3","Metabolome","""2,3-Dihydroxyvaleric acid(2)"""
"nHILIC_179.0348_2.2","Metabolome","4-Hydroxyphenylpyruvic acid"
"pRPLC_260.1858_3.3","Metabolome","C6:0 AC"
"pRPLC_413.207_4.8","Metabolome","C23H28N2O5"
"pRPLC_316.2484_6.6","Metabolome","C10:0 AC"
"pRPLC_227.0914_6.8","Metabolome","C11H14O5"
"pRPLC_464.1915_7","Metabolome","C23H29NO9"
"pRPLC_342.2639_7.2","Metabolome","C12:1 AC"
"pRPLC_239.1642_8.9","Metabolome","C14H22O3"
"nRPLC_171.1027_5.6","Metabolome","""C9:1,OH FA"""
"nRPLC_333.2073_7.6","Metabolome","""C20:4,DC FA"""
"nRPLC_131.0714_1.6","Metabolome","(S)-(-)-2-Hydroxyisocaproic acid "
"nRPLC_169.1233_8.2","Metabolome","C10:1 FA(2)"
"nRPLC_243.1964_9.6","Metabolome","""C14:0,OH FA(2)"""
"nRPLC_319.2278_9.8","Metabolome","""C20:4,OH FA(2)"""
"nRPLC_445.3324_11.4","Metabolome","C28H46O4(2)"
"nRPLC_199.1704_9.5","Metabolome","C12:0 FA(1)"
"nRPLC_448.3069_9.4","Metabolome","Chenodeoxycholic acid glycine conjugate(1)"
"nRPLC_223.1704_9.4","Metabolome","C14:2 FA"
"nRPLC_243.1965_9.3","Metabolome","""C14:0,OH FA(1)"""
"nRPLC_241.181_9","Metabolome","""C14:1,OH FA(1)"""
"nRPLC_197.1547_9","Metabolome","C12:1 FA(2)"
"nRPLC_514.2853_8.8","Metabolome","Taurocholic acid(2)"
"nRPLC_187.0976_5.4","Metabolome","""C9:0,DC FA (Azelaic acid)"""
"pHILIC_189.1596_18.3","Metabolome","""N6,N6,N6-Trimethyl-L-lysine"""
"nHILIC_212.0022_3","Metabolome","3-indoxyl sulfate"
"pRPLC_431.3153_10.3","Metabolome","C27H42O4"
"pRPLC_457.2832_11","Metabolome","C24H40O8"
"nRPLC_323.2592_10.4","Metabolome","""C20:2,OH FA"""
"nRPLC_539.2489_8.8","Metabolome","Tetrahydroaldosterone-3-glucuronide(2)"
"nRPLC_183.1025_5.1","Metabolome","C10H16O3(3)"
"pHILIC_114.0661_2.5","Metabolome","Creatinine"
"pHILIC_298.1139_4.7","Metabolome","1-Methylguanosine"
"pHILIC_158.1174_6.2","Metabolome","Homostachydrine"
"pHILIC_205.0969_6.7","Metabolome","L-Tryptophan"
"pHILIC_150.0581_7","Metabolome","L-Methionine"
"pHILIC_221.0918_7.5","Metabolome","C11H12N2O3(1)"
"pHILIC_130.0862_7.6","Metabolome","Pipecolic acid"
"pHILIC_182.081_7.7","Metabolome","L-Tyrosine"
"pHILIC_188.128_8","Metabolome","C9H17NO3"
"pHILIC_269.1239_8.3","Metabolome","Acetylcarnosine"
"pHILIC_245.1856_12.4","Metabolome","C12H24N2O3"
"nHILIC_188.9862_0.9","Metabolome","Catechol sulfate"
"nHILIC_176.0387_4.9","Metabolome","N-formylmethionine"
"nHILIC_157.0366_6.1","Metabolome","Allantoin"
"nHILIC_177.0339_6.7","Metabolome","Cys Gly"
"nHILIC_74.0246_9.6","Metabolome","Glycine"
"nHILIC_131.0461_9.7","Metabolome","L-Asparagine"
"nHILIC_471.1343_11.8","Metabolome","C16H26N4O11"
"nHILIC_300.0394_7.2","Metabolome","C8H15NO9S"
"nHILIC_103.0036_4","Metabolome","C3H4O4"
"pRPLC_244.1544_1.7","Metabolome","C5:1 AC"
"pRPLC_146.06_3","Metabolome","4-formyl Indole(2)"
"pRPLC_181.0719_3.4","Metabolome","Theophylline"
"pRPLC_352.1657_3.7","Metabolome","Phenylalanyl-Tryptophan"
"nRPLC_159.1027_5.5","Metabolome","""C8:0,OH FA(2)"""
"nRPLC_209.0819_5.9","Metabolome","C11H14O4(1)"
"nRPLC_227.1289_7.3","Metabolome","""C12:1,DC FA(1)"""
"nRPLC_257.176_8.5","Metabolome","""C14:0,DC FA(1)"""
"nRPLC_265.2171_10.3","Metabolome","C17:0 FA(2)"
"nRPLC_433.2595_11.1","Metabolome","C25H38O6"
"nRPLC_327.2538_10.5","Metabolome","MG(16:1)"
"nRPLC_285.2071_9.2","Metabolome","""C16:0,DC FA(2)"""
"nRPLC_255.1603_8.1","Metabolome","C14H24O4"
"nRPLC_541.2651_7","Metabolome","C27H42O11(3)"
"nRPLC_151.04_2.3","Metabolome","2-Hydroxyphenylacetate"
"pHILIC_166.0861_6.2","Metabolome","L-Phenylalanine"
"pHILIC_170.0923_8.5","Metabolome","1-Methylhistidine"
"pHILIC_350.1185_11.5","Metabolome","C12H19N3O9"
"pHILIC_337.1234_11.6","Metabolome","C12H20N2O9"
"pHILIC_147.1126_15.9","Metabolome","L-Lysine"
"nHILIC_243.0621_3.4","Metabolome","Uridine"
"nHILIC_327.2328_1","Metabolome","C22:6 FA"
"nHILIC_111.0199_3.4","Metabolome","Uracil"
"nHILIC_177.0226_3.6","Metabolome","C6H10O4S"
"nHILIC_481.244_5.2","Metabolome","11-beta-Hydroxyandrosterone-3-glucuronide"
"nHILIC_274.1407_13.3","Metabolome","Epsilon-(gamma-Glutamyl)-lysine"
"nHILIC_168.0778_10.2","Metabolome","3-Methyl-L-histidine"
"nHILIC_85.0294_7.6","Metabolome","C4H6O2"
"nHILIC_361.1254_3.3","Metabolome","C14H22N2O9"
"pRPLC_162.1123_0.6","Metabolome","L-Carnitine"
"pRPLC_100.0756_1.2","Metabolome","2-Piperidinone"
"pRPLC_267.1228_8.3","Metabolome","C14H18O5(1)"
"pRPLC_580.4347_11.8","Metabolome","LysoPC(22:0)"
"nRPLC_514.2838_9.6","Metabolome","Taurocholic acid(1)"
"nRPLC_473.3632_11.4","Metabolome","C30H50O4"
"nRPLC_407.2438_8.8","Metabolome","C23H36O6"
"nRPLC_389.2699_8.8","Metabolome","C24H38O4"
"nRPLC_297.2435_10.2","Metabolome","""C18:1,OH FA(1)"""
"nRPLC_498.2892_10.3","Metabolome","Tauroursodeoxycholic acid"
"nRPLC_293.2123_9.6","Metabolome","""C18:3,OH FA(2)"""
"nRPLC_163.0765_7.4","Metabolome","Phenylbutyric acid"
"nRPLC_495.2235_6.2","Metabolome","C25H36O10"
"nRPLC_209.0814_5.3","Metabolome","C11H14O4(2)"
"pHILIC_144.1018_6.7","Metabolome","Proline betaine"
"pHILIC_157.0607_8.3","Metabolome","Imidazolelactic acid"
"pHILIC_229.1544_10.4","Metabolome","C11H20N2O3(2)"
"nHILIC_167.0349_1.3","Metabolome","5-Methoxysalicylic acid"
"nHILIC_239.0164_12.1","Metabolome","L-Cystine"
"nHILIC_269.0875_7.6","Metabolome","C9H18O9"
"nHILIC_345.0942_3.3","Metabolome","C13H18N2O9"
"nHILIC_459.3476_1.8","Metabolome","C29H48O4"
"pRPLC_283.1541_8.3","Metabolome","C15H22O5_pos"
"pRPLC_491.371_11.3","Metabolome","C28H52O5"
"nRPLC_371.189_9.7","Metabolome","""5alpha-Androstan-3alpha,17alpha-diol monosulfate(2)"""
"nRPLC_301.2173_10.3","Metabolome","C20:5 FA"
"nRPLC_199.0976_5.6","Metabolome","""C10:1,DC FA"""
"nRPLC_153.0193_2.1","Metabolome","Gentisic acid"
"nRPLC_215.1288_6.8","Metabolome","""C11:0,DC FA"""
"nRPLC_329.2336_7.9","Metabolome","""C18:1,3OH FA"""
"nRPLC_225.186_10","Metabolome","C14:1 FA(2)"
"nRPLC_443.3164_11","Metabolome","C28H44O4"
"nRPLC_197.1547_9.1","Metabolome","C12:1 FA(1)"
"nRPLC_464.3015_8.8","Metabolome","Glycocholic acid"
"nRPLC_183.139_8.5","Metabolome","C11:1 FA"
"nHILIC_581.2411_5.9","Metabolome","Biliverdin(2)"
"nRPLC_297.2436_10","Metabolome","""C18:1,OH FA(2)"""
"nRPLC_450.2624_9.5","Metabolome","LysoPE(16:1)"
"nRPLC_241.1447_7.7","Metabolome","C13H22O4"
"pHILIC_104.1069_6.6","Metabolome","Choline"
"pHILIC_146.0811_7.5","Metabolome","Isobutyrylglycine"
"pHILIC_161.1283_8.1","Metabolome","C7H16N2O2"
"nHILIC_329.0306_10.8","Metabolome","Unknown_329.0306_10.8"
"nHILIC_247.057_11.8","Metabolome","Asp-Asp"
"nHILIC_131.0349_5.1","Metabolome","Ethylmalonate"
"nHILIC_103.0036_7.7","Metabolome","C5H8O6"
"nHILIC_130.0509_8.8","Metabolome","4-Hydroxyproline"
"nHILIC_261.0725_10.7","Metabolome","Asp-Glu or Glu-Asp"
"nHILIC_202.1197_13.3","Metabolome","Gly-Lys or Lys-Gly"
"nHILIC_116.0716_7.3","Metabolome","L-Valine"
"nRPLC_389.27_9.4","Metabolome","C24H38O4(1)"
"nRPLC_211.1704_9.4","Metabolome","""C13:1,OH FA"""
"nRPLC_487.3427_9.5","Metabolome","C30H48O5(2)"
"nRPLC_267.233_10.6","Metabolome","C17:1 FA"
"nRPLC_357.2801_11.2","Metabolome","C24:5 FA"
"nRPLC_297.2797_11.2","Metabolome","C19:0 FA(2)"
"nRPLC_455.2472_11","Metabolome","Sulfolithocholic acid"
"nRPLC_585.486_10.8","Metabolome","C36H66O4"
"nHILIC_197.0678_4.1","Metabolome","5-Acetylamino-6-amino-3-methyluracil(2)"
"nHILIC_168.0276_10.3","Metabolome","L-Glutamic acid"
"pRPLC_288.2172_5.1","Metabolome","C8:0 AC(2)"
"pRPLC_286.1439_8.4","Metabolome","Piperine(2)"
"nRPLC_527.2129_7.1","Metabolome","C25H36O12"
"pHILIC_130.0863_6.6","Metabolome","N-methylproline"
"pHILIC_299.1383_7.5","Metabolome","C17H18N2O3"
"pHILIC_280.1384_8","Metabolome","N-(1-Deoxy-1-fructosyl)valine"
"nHILIC_87.0087_4.4","Metabolome","Pyruvic acid"
"nHILIC_219.0451_7.2","Metabolome","C7H12N2O4S"
"nRPLC_329.2487_10.7","Metabolome","C22:5 FA"
"nRPLC_313.2385_10.3","Metabolome","""C18:0,DC FA(1)"""
"nRPLC_445.3324_11.2","Metabolome","C28H46O4(3)"
"nRPLC_227.1289_6.9","Metabolome","""C12:1,DC FA(2)"""
"nHILIC_245.0432_6.5","Metabolome","C7H14O7(2)"
"pRPLC_153.0658_1.7","Metabolome","N1-Methyl-2-pyridone-5-carboxamide(2)"
"pRPLC_370.2952_8.2","Metabolome","C14:1 AC"
"pRPLC_310.3104_11.1","Metabolome","Oleoyl Ethyl Amide"
"nRPLC_182.0458_1","Metabolome","Pyridoxic acid"
"nRPLC_465.249_8.3","Metabolome","Androsterone glucuronide(2)"
"pHILIC_790.5707_2","Metabolome","PC(P-38:6)"
"pHILIC_778.5358_5.1","Metabolome","PC(36:6)"
"pHILIC_288.2161_5.8","Metabolome","C8:0 AC(1)"
"pHILIC_174.1237_7.5","Metabolome","C7H15N3O2"
"pHILIC_178.0532_7.5","Metabolome","Alliin"
"pHILIC_186.1123_7.8","Metabolome","C9H15NO3"
"pHILIC_173.092_8.1","Metabolome","C7H12N2O3(1)"
"pHILIC_290.1594_11","Metabolome","""C6:0,DC AC(2)"""
"nHILIC_271.0614_5.2","Metabolome","C15H12O5"
"nHILIC_165.0403_11","Metabolome","Arabonate | Xylonate(2)"
"nHILIC_277.2171_1","Metabolome","C18:3 FA"
"nHILIC_833.5227_5.2","Metabolome","PI(34:2)"
"nHILIC_128.0352_7.6","Metabolome","5-oxoproline"
"nHILIC_177.0404_7.8","Metabolome","C6H10O6"
"nHILIC_209.0302_11","Metabolome","Glucaric acid"
"nHILIC_216.0704_10.5","Metabolome","C8H12N2O5"
"nHILIC_149.0455_8.2","Metabolome","C5H10O5(2)"
"nHILIC_183.0774_5","Metabolome","C8H12N2O3"
"nHILIC_163.04_1.4","Metabolome","Phenylpyruvic acid"
"nHILIC_197.0679_1.4","Metabolome","5-Acetylamino-6-amino-3-methyluracil(1)"
"nHILIC_157.0869_1","Metabolome","C8H14O3"
"pRPLC_181.0718_3.1","Metabolome","Paraxanthine"
"pRPLC_286.2015_4.3","Metabolome","C8:1 AC"
"pRPLC_310.2015_4.9","Metabolome","C10:3 AC(2)"
"pRPLC_347.0633_6","Metabolome","C13H16O12"
"pRPLC_676.417_10.7","Metabolome","PS(28:2)"
"nRPLC_365.2333_9.7","Metabolome","Tetrahydrocortisol"
"nRPLC_393.3013_10.7","Metabolome","C24H42O4"
"nRPLC_129.0558_1","Metabolome","3-Methyl-2-oxovaleric acid"
"nRPLC_159.1026_3.8","Metabolome","""C8:0,OH FA(3)"""
"nRPLC_183.1026_6.2","Metabolome","C10H16O3(1)"
"nRPLC_331.1762_7.2","Metabolome","C16H28O7"
"nRPLC_241.1809_8.8","Metabolome","""C14:1,OH FA(2)"""
"nRPLC_309.2073_9.4","Metabolome","""C18:2,DC FA"""
"nRPLC_313.2385_9.9","Metabolome","""C18:0,DC FA(3)"""
"nRPLC_389.2702_10.4","Metabolome","C24H38O4(2)"
"nRPLC_377.2696_10.5","Metabolome","MG(20:4)(1)"
"nRPLC_437.3271_10.7","Metabolome","C26H46O5"
"nRPLC_487.342_10.8","Metabolome","C30H48O5(1)"
"nRPLC_463.3428_11","Metabolome","C28H48O5"
"nRPLC_399.3268_11.1","Metabolome","25-hydroxyvitamin D3"
"nRPLC_439.3792_11.1","Metabolome","MG(24:1)"
"nRPLC_415.3217_10.9","Metabolome","Dihydroxyvitamin D3(2)"
"nRPLC_417.3009_10.8","Metabolome","C26H42O4"
"nRPLC_461.3269_10.7","Metabolome","C28H46O5"
"nRPLC_351.254_10.3","Metabolome","MG(18:3)"
"nRPLC_209.1183_6.5","Metabolome","C12H18O3(1)"
"nRPLC_201.1133_6.3","Metabolome","""C10:0,DC FA (Sebacic acid)(1)"""
"nRPLC_183.1026_5.5","Metabolome","C10H16O3(2)"
