ID,Name,Classification,Synonyms,Level,Description,CAS Number,PubChem ID,ChEBI ID,FooDB ID,HMDB ID,SMILES,Formula,InChI,InChIKey,Average mass,Mono. mass,No. of Publications,No. of Concentration values,No. of Reproducibility values,No. of Correlation values,No. of Metabolomic associations,No. of Cancer associations
846,1-Hydroxynaphthalene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],1-NAP; 1-Naphthol,Single,,90-15-3,7005,10319,FDB005841,HMDB12138,OC1=C2C=CC=CC2=CC=C1,C10H8O,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",KJCVRFUGPWSIIH-UHFFFAOYSA-N,144.1699,144.057514878,13,37,5,0,0,0
847,2-Hydroxynaphthalene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],2-NAP; 2-Naphthol; 2-OH-NAP,Single,Biomarker of PAH exposure.,135-19-3,8663,10432,FDB000877,HMDB12322,OC1=CC2=CC=CC=C2C=C1,C10H8O,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H",JWAZRIHNYRIHIV-UHFFFAOYSA-N,144.1699,144.057514878,22,89,0,0,0,0
848,2-Hydroxyfluorene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],2-FLU,Single,,2443-58-5,75547,34289,FDB029318,HMDB13163,OC1=CC2=C(C=C1)C1=CC=CC=C1C2,C13H10O,"InChI=1S/C13H10O/c14-11-5-6-13-10(8-11)7-9-3-1-2-4-12(9)13/h1-6,8,14H,7H2",ZDOIAPGLORMKTR-UHFFFAOYSA-N,182.2179,182.073164942,14,40,0,0,0,0
849,3-Hydroxyfluorene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],3-FLU,Single,,6344-67-8,96088,89645,,HMDB59802,OC1=CC2=C(CC3=CC=CC=C23)C=C1,C13H10O,"InChI=1S/C13H10O/c14-11-6-5-10-7-9-3-1-2-4-12(9)13(10)8-11/h1-6,8,14H,7H2",PVUBSZGNXLNTLX-UHFFFAOYSA-N,182.2179,182.073164942,7,23,3,0,0,0
850,9-Hydroxyfluorene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],9-FLU,Single,,1689-64-1,74318,16904,,HMDB59803,OC1C2=CC=CC=C2C2=CC=CC=C12,C13H10O,"InChI=1S/C13H10O/c14-13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)13/h1-8,13-14H",AFMVESZOYKHDBJ-UHFFFAOYSA-N,182.2179,182.073164942,7,22,0,0,0,0
851,1-Hydroxyphenanthrene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],1-PHE,Single,,2433-56-9,98490,27528,,HMDB59797,OC1=CC=CC2=C1C=CC1=CC=CC=C21,C14H10O,"InChI=1S/C14H10O/c15-14-7-3-6-12-11-5-2-1-4-10(11)8-9-13(12)14/h1-9,15H",GTBXZWADMKOZQJ-UHFFFAOYSA-N,194.2286,194.073164942,10,32,0,0,0,0
852,2-Hydroxyphenanthrene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],2-PHE,Single,,605-55-0,69061,19760,,HMDB59798,OC1=CC=C2C(C=CC3=CC=CC=C23)=C1,C14H10O,"InChI=1S/C14H10O/c15-12-7-8-14-11(9-12)6-5-10-3-1-2-4-13(10)14/h1-9,15H",YPWLZGITFNGGKW-UHFFFAOYSA-N,194.2286,194.073164942,12,44,0,0,0,0
853,3-Hydroxyphenanthrene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],3-PHE,Single,,605-87-8,95724,20184,,HMDB59799,OC1=CC2=C(C=C1)C=CC1=CC=CC=C21,C14H10O,"InChI=1S/C14H10O/c15-12-8-7-11-6-5-10-3-1-2-4-13(10)14(11)9-12/h1-9,15H",NGPOABOEXMDQBT-UHFFFAOYSA-N,194.2286,194.073164942,11,43,3,0,0,0
854,4-Hydroxyphenanthrene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],4-PHE,Single,,7651-86-7,82105,20469,,HMDB59800,OC1=CC=CC2=C1C1=CC=CC=C1C=C2,C14H10O,"InChI=1S/C14H10O/c15-13-7-3-5-11-9-8-10-4-1-2-6-12(10)14(11)13/h1-9,15H",SIMYIUXARJLHEA-UHFFFAOYSA-N,194.2286,194.073164942,10,36,0,0,0,0
856,Nicotine,Nicotine,(-)-Nicotine; L-Nicotine; S-Nicotine,Single,"Natural product of tobacco. Aso naturally occurs in smaller amounts in plants from the family Solanaceae (such as potatoes, tomatoes, and eggplant).",54-11-5,89594,17688,FDB003968,HMDB01934,CN1CCC[C@H]1C1=CN=CC=C1,C10H14N2,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",SNICXCGAKADSCV-JTQLQIEISA-N,162.2316,162.115698458,3,7,0,1,1,0
857,9-Hydroxyphenanthrene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],9-PHE; 9-OH-Phen,Single,,484-17-3,10229,28820,,HMDB59801,OC1=CC2=CC=CC=C2C2=CC=CC=C12,C14H10O,"InChI=1S/C14H10O/c15-14-9-10-5-1-2-6-11(10)12-7-3-4-8-13(12)14/h1-9,15H",DZKIUEHLEXLYKM-UHFFFAOYSA-N,194.2286,194.073164942,5,16,0,0,0,0
858,2-Hydroxybenzo[c]phenanthrene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],2-OH-B(c)P,Single,,22717-94-8,97039,,,,OC1=CC2=C(C=C1)C=CC1=C2C2=CC=CC=C2C=C1,C18H12O,"InChI=1S/C18H12O/c19-15-10-9-13-6-8-14-7-5-12-3-1-2-4-16(12)18(14)17(13)11-15/h1-11,19H",WCFYKAAKPJSBFZ-UHFFFAOYSA-N,244.293,244.088815006,2,4,0,0,0,0
859,6-Hydroxychrysene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],6-OH-CHR; 6-CHR,Single,,37515-51-8,37766,,,,OC1=CC2=C(C=CC3=CC=CC=C23)C2=CC=CC=C12,C18H12O,"InChI=1S/C18H12O/c19-18-11-17-13-6-2-1-5-12(13)9-10-15(17)14-7-3-4-8-16(14)18/h1-11,19H",VXFDOYXVHRYCGS-UHFFFAOYSA-N,244.293,244.088815006,2,4,0,0,0,0
862,PAH-albumin adducts,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],,Combined,Includes BPDE adducts.,,,,,,,,,,,,4,19,0,0,0,0
863,Bulky DNA adducts,Pollution,DNA adducts,Combined,Any chemical bound to DNA.,,,,,,,,,,,,7,36,0,0,0,0
861,Phenol,Benzene,Carbolic acid,Single,Biomarker of benzene exposure.,108-95-2,996,15882,FDB000893,HMDB00228,OC1=CC=CC=C1,C6H6O,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,94.1112,94.041864814,1,6,0,0,0,0
866,Cotinine,Nicotine,(-)-Cotinine; S-Cotinine; S-(-)-Cotinine,Single,Biomarker of tobacco smoke exposure. Metabolite of nicotine.,486-56-6,854019,68641,FDB004716,HMDB01046,CN1[C@@H](CCC1=O)C1=CN=CC=C1,C10H12N2O,"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1",UIKROCXWUNQSPJ-VIFPVBQESA-N,176.219,176.094963014,5,19,1,0,0,0
867,"2,9-Hydroxyphenanthrene",Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],,Single,Biomarker of PAH exposure.,,,,,,OC1=CC2=C(C=C1)C1=CC=CC=C1C(O)=C2,C14H10O2,"InChI=1S/C14H10O2/c15-10-5-6-11-9(7-10)8-14(16)13-4-2-1-3-12(11)13/h1-8,15-16H",JQMOAZUCUQQAQB-UHFFFAOYSA-N,210.232,210.068079562,1,4,0,0,0,0
1349,4-Monochlorophenol (4-MCP),Organohalogens [pesticides],,Single,"Metabolite of chlorobenzene. Chlorobenzene is used in stain removers, solvents, herbicides, for the production of pharmaceutics and cosmetics, in paints, fungicides and drugs.",106-48-9,4684,28078,,,OC1=CC=C(Cl)C=C1,C6H5ClO,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",WXNZTHHGJRFXKQ-UHFFFAOYSA-N,128.556,128.002892489,1,1,0,0,0,0
1350,"2,4-Dichlorophenol (2,4-DCP)",Organohalogens [pesticides],,Single,"Metabolite of 2,4-D. Used in the synthesis of phenoxy herbicides including 2,4-D.",120-83-2,8449,16738,FDB023422,HMDB04811,OC1=CC=C(Cl)C=C1Cl,C6H4Cl2O,"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",HFZWRUODUSTPEG-UHFFFAOYSA-N,163.001,161.963920164,5,4,4,0,0,0
1351,"2,5-Dichlorophenol (2,5-DCP)",Organohalogens [pesticides],,Single,"Metabolite of 1,4-dichlorobenzene (1,4-DCB). 1,4-DCB is used in the production of insecticides and in products such as mothballs and toilet deodorant blocks.",583-78-8,66,27929,,HMDB41800,OC1=C(Cl)C=CC(Cl)=C1,C6H4Cl2O,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",RANCECPPZPIPNO-UHFFFAOYSA-N,163.001,161.963920164,5,4,4,0,0,0
1352,"2,6-Dichlorophenol (2,6-DCP)",Organohalogens [pesticides],,Single,,87-65-0,6899,28457,,,OC1=C(Cl)C=CC=C1Cl,C6H4Cl2O,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(8)6(4)9/h1-3,9H",HOLHYSJJBXSLMV-UHFFFAOYSA-N,163.0,161.9639201,1,1,0,0,0,0
1353,"2,3,4-Trichlorophenol (2,3,4-TCP)",Organohalogens [pesticides],,Single,,15950-66-0,27582,,,,OC1=C(Cl)C(Cl)=C(Cl)C=C1,C6H3Cl3O,"InChI=1S/C6H3Cl3O/c7-3-1-2-4(10)6(9)5(3)8/h1-2,10H",HSQFVBWFPBKHEB-UHFFFAOYSA-N,197.44,195.9249478,1,1,0,0,0,0
1354,"2,4,5-Trichlorophenol (2,4,5-TCP)",Organohalogens [pesticides],,Single,,95-95-4,7271,28520,,,OC1=CC(Cl)=C(Cl)C=C1Cl,C6H3Cl3O,"InChI=1S/C6H3Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-2,10H",LHJGJYXLEPZJPM-UHFFFAOYSA-N,197.446,195.924947839,2,4,0,0,0,0
1355,"2,4,6-Trichlorophenol (2,4,6-TCP)",Organohalogens [pesticides],,Single,,88-06-2,6914,28755,,,OC1=C(Cl)C=C(Cl)C=C1Cl,C6H3Cl3O,"InChI=1S/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H",LINPIYWFGCPVIE-UHFFFAOYSA-N,197.446,195.924947839,1,1,0,0,0,0
1356,"2,3,4,6-Tetrachlorophenol (2,3,4,6-TeCP)",Organohalogens [pesticides],,Single,,58-90-2,6028,,,,OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,C6H2Cl4O,"InChI=1S/C6H2Cl4O/c7-2-1-3(8)6(11)5(10)4(2)9/h1,11H",VGVRPFIJEJYOFN-UHFFFAOYSA-N,231.88,229.8859755,1,1,0,0,0,0
1325,Pentachlorophenol (PCP),Organohalogens [pesticides],,Single,"Former herbicide, insecticide, fungicide, algaecide, disinfectant, and ingredient in antifouling paint.",87-86-5,992,17642,,HMDB41974,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,C6HCl5O,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,IZUPBVBPLAPZRR-UHFFFAOYSA-N,266.337,263.847003189,3,5,0,0,0,0
1299,"p,p'‑DDT",Organohalogens [pesticides],"p,p'‑Dichlorodiphenyltrichloroethane; 4,4'‑Dichlorodiphenyltrichloroethane; Clofenotane (tradename)",Single,Organochlorine pesticide.,50-29-3,3036,16130,FDB008850,HMDB32127,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,C14H9Cl5,"InChI=1S/C14H9Cl5/c15-11-5-1-9(2-6-11)13(14(17,18)19)10-3-7-12(16)8-4-10/h1-8,13H",YVGGHNCTFXOJCH-UHFFFAOYSA-N,354.486,351.914688823,15,32,0,0,0,0
1300,"p,p'-DDE",Organohalogens [pesticides],"p,p'-Dichlorodiphenyldichloroethylene; 4,4'-Dichlorodiphenyldichloroethylene",Single,"Metabolite of DDT, an organochlorine pesticide.",72-55-9,3035,16598,,,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,C14H8Cl4,InChI=1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,UCNVFOCBFJOQAL-UHFFFAOYSA-N,318.025,315.938011084,22,56,0,0,0,0
868,PAH-DNA adducts,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],,Combined,Includes BPDE adducts.,,,,,,,,,,,,2,12,0,0,0,0
869,BPDE-DNA adduct,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],B[a]P-DNA adduct; Benzo[a]pyrene diol epoxide-DNA adduct; BPDE-I-DNA adduct; BaPDE-I-DNA adduct; BaP-DNA adduct,Single,BPDE (benzo[a]pyrene diol epoxide) is a carcinogenic metabolite of benzo[a]pyrene (BaP) which forms adducts with DNA and proteins and is hydrolysed to BPDE tetrols. It is used as a marker for BaP exposure (a surrogate marker for PAHs).,,,,,,,,,,,,2,11,0,0,0,0
882,1-Hydroxyfluorene,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],1-FLU,Single,,6344-61-2,96087,,,,OC1=CC=CC2=C1CC1=CC=CC=C21,C13H10O,"InChI=1S/C13H10O/c14-13-7-3-6-11-10-5-2-1-4-9(10)8-12(11)13/h1-7,14H,8H2",PWFLISNWYDWJHX-UHFFFAOYSA-N,182.222,182.073164942,1,4,0,0,0,0
896,Hydroxyphenanthrenes,Polycyclic aromatic hydrocarbons (PAH) [air and water pollutants],Total OH-Phenanthrenes,Combined,,,,,,,,,,,,,2,12,0,0,0,0
891,Bromodichloromethane,Organohalogens,Dichlorobromomethane; BDCM,Single,,75-27-4,6359,34591,,,ClC(Cl)Br,CHBrCl2,InChI=1S/CHBrCl2/c2-1(3)4/h1H,FMWLUWPQPKEARP-UHFFFAOYSA-N,163.829,161.863868093,5,26,0,0,0,0
892,Dibromochloromethane,Organohalogens,Chlorodibromomethane; CDBM,Single,,124-48-1,31296,34627,,HMDB59903,ClC(Br)Br,CHBr2Cl,InChI=1S/CHBr2Cl/c2-1(3)4/h1H,GATVIKZLVQHOMN-UHFFFAOYSA-N,208.28,205.813353033,4,18,0,0,0,0
893,Trichloromethane,Organohalogens,Chloroform; Methyl trichloride; TCM,Single,,67-66-3,6212,35255,FDB000760,HMDB29596,ClC(Cl)Cl,CHCl3,InChI=1S/CHCl3/c2-1(3)4/h1H,HEDRZPFGACZZDS-UHFFFAOYSA-N,119.378,117.914383153,5,26,0,0,0,0
894,Tribromomethane,Organohalogens,Bromoform; TBM,Single,,75-25-2,5558,38682,,,BrC(Br)Br,CHBr3,InChI=1S/CHBr3/c2-1(3)4/h1H,DIKBFYAXUHHXCS-UHFFFAOYSA-N,252.731,249.762837973,4,18,0,0,0,0
895,Trihalomethanes (THMs),Organohalogens,Total THMs; Total trihalomethanes,Combined,,,,,,,,,,,,,4,18,0,0,0,0
897,Trichloroacetic acid,Organohalogens,TCA; TCAA,Single,,76-03-9,6421,30956,,HMDB42048,OC(=O)C(Cl)(Cl)Cl,C2HCl3O2,"InChI=1S/C2HCl3O2/c3-2(4,5)1(6)7/h(H,6,7)",YNJBWRMUSHSURL-UHFFFAOYSA-N,163.387,161.904212397,5,15,7,0,0,0
899,Dichloroacetic acid,Organohalogens,DCA; DCAA,Single,,79-43-6,6597,36386,,,OC(=O)C(Cl)Cl,C2H2Cl2O2,"InChI=1S/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)",JXTHNDFMNIQAHM-UHFFFAOYSA-N,128.942,127.943184722,2,10,6,0,0,0
898,Monochloroacetic acid,Organohalogens,MCA; MCAA; Chloroacetic acid,Single,,79-11-8,300,27869,FDB003394,HMDB31331,OC(=O)CCl,C2H3ClO2,"InChI=1S/C2H3ClO2/c3-1-2(4)5/h1H2,(H,4,5)",FOCAUTSVDIKZOP-UHFFFAOYSA-N,94.497,93.982157047,1,3,0,0,0,0
900,4'-OH-PhIP,Heterocyclic amines (HCA) [diet contaminants],"2-Amino-1-methyl-6-(4'-hydroxy)phenylimidazo[4,5-b]pyridine",Single,,126861-72-1,15897928,,,,CN1C(N)=NC2=C1C=C(C=N2)C1=CC=C(O)C=C1,C13H12N4O,"InChI=1S/C13H12N4O/c1-17-11-6-9(7-15-12(11)16-13(17)14)8-2-4-10(18)5-3-8/h2-7,18H,1H3,(H2,14,15,16)",UGJXOCBVCWTJFP-UHFFFAOYSA-N,240.2606,240.101111026,1,1,0,0,0,0
901,5-OH-PhIP,Heterocyclic amines (HCA) [diet contaminants],"2-Amino-1-methyl-6-(5-hydroxy)phenylimidazo[4,5-b]pyridine; 2-Amino-1-methyl-6-phenyl-4H-imidazo[4,5-b]pyridin-5-one",Single,"Represented as the 2-amino-1-methyl-6-phenyl-4H-imidazo[4,5-b]pyridin-5-one tautomer.",159471-46-2,71749254,,,,CN1C(N)=NC2=C1C=C(C(=O)N2)C1=CC=CC=C1,C13H12N4O,"InChI=1S/C13H12N4O/c1-17-10-7-9(8-5-3-2-4-6-8)12(18)15-11(10)16-13(17)14/h2-7H,1H3,(H3,14,15,16,18)",VFOYOLOUKGRSJB-UHFFFAOYSA-N,240.266,240.101111022,1,1,0,0,0,0
902,Norharman,Heterocyclic amines (HCA) [diet contaminants],"9H-Pyrido[3,4-b]indole; beta-Carboline",Single,,244-63-3,64961,109895,FDB007945,HMDB12897,N1C2=CC=CC=C2C2=C1C=NC=C2,C11H8N2,"InChI=1S/C11H8N2/c1-2-4-10-8(3-1)9-5-6-12-7-11(9)13-10/h1-7,13H",AIFRHYZBTHREPW-UHFFFAOYSA-N,168.1946,168.068748266,1,1,0,0,0,0
903,AalphaC,Heterocyclic amines (HCA),"2-Amino-9H-pyrido[2,3-b]indole; 2-Amino-alpha-carboline",Single,,26148-68-5,62805,82284,FDB011142,HMDB33141,NC1=NC2=C(C=C1)C1=CC=CC=C1N2,C11H9N3,"InChI=1S/C11H9N3/c12-10-6-5-8-7-3-1-2-4-9(7)13-11(8)14-10/h1-6H,(H3,12,13,14)",FJTNLJLPLJDTRM-UHFFFAOYSA-N,183.2093,183.079647303,1,3,0,0,0,0
904,PhIP-albumin adduct,Heterocyclic amines (HCA) [diet contaminants],PhIP-SA; PhiP-serum albumin adduct,Single,,,,,,,,,,,,,1,5,0,0,0,0
905,PhIP-hemoglobin adduct,Heterocyclic amines (HCA) [diet contaminants],PhIP-globin adduct; PhIP-Gb,Single,,,,,,,,,,,,,1,5,0,0,0,0
907,MeIQx metabolites,Heterocyclic amines (HCA) [diet contaminants],"2-Amino-3-8-dimethyl-imidazo[4-5-f]quinoxaline); 2-Amino-3,8-dimethyl-imidazo[4,5-f]quinoxaline metabolites",Combined,"MeIQx (2-Amino-3,8-dimethyl-imidazo[4,5-f]quinoxaline) and its metabolites.",,,,,,,,,,,,2,5,0,0,0,0
906,PhIP metabolites,Heterocyclic amines (HCA) [diet contaminants],2-Amino-1-methyl-6-phenylimidazo[4-5-b]pyridine metabolites,Combined,PhIP (2-Amino-1-methyl-6-phenylimidazo[4-5-b]pyridine) and its metabolites.,,,,,,,,,,,,1,1,0,0,0,0
910,DiCDDs,Polychlorodibenzo-p-dioxins (PCDD),Dichlorodibenzo-p-dioxins,Combined,,,,,,,,,,,,,1,4,0,0,0,0
931,TrCDDs,Polychlorodibenzo-p-dioxins (PCDD),Trichlorodibenzo-p-dioxins,Combined,,,,,,,,,,,,,1,4,0,0,0,0
932,TeCDDs,Polychlorodibenzo-p-dioxins (PCDD),Tetrachlorodibenzo-p-dioxins,Combined,,,,,,,,,,,,,1,4,0,0,0,0
933,PeCDDs,Polychlorodibenzo-p-dioxins (PCDD),Pentachlorodibenzo-p-dioxins,Combined,,,,,,,,,,,,,1,4,0,0,0,0
915,HxCDDs,Polychlorodibenzo-p-dioxins (PCDD),Hexachlorodibenzo-p-dioxins,Combined,,,,,,,,,,,,,3,10,0,0,0,0
934,HpCDDs,Polychlorodibenzo-p-dioxins (PCDD),Heptachlorodibenzo-p-dioxins,Combined,,,,,,,,,,,,,1,4,0,0,0,0
919,MoCDFs,Polychlorodibenzo-furans (PCDF),Monochlorodibenzo-furans,Combined,,,,,,,,,,,,,1,4,0,0,0,0
920,DiCDFs,Polychlorodibenzo-furans (PCDF),Dichlorodibenzo-furans,Combined,,,,,,,,,,,,,1,4,0,0,0,0
921,TrCDFs,Polychlorodibenzo-furans (PCDF),Trichlorodibenzo-furans,Combined,,,,,,,,,,,,,1,4,0,0,0,0
922,TeCDFs,Polychlorodibenzo-furans (PCDF),Tetrachlorodibenzo-furans,Combined,,,,,,,,,,,,,1,4,0,0,0,0
925,PeCDFs,Polychlorodibenzo-furans (PCDF),Pentachlorodibenzo-furans,Combined,,,,,,,,,,,,,2,6,0,0,0,0
930,HxCDFs,Polychlorodibenzo-furans (PCDF),Hexachlorodibenzo-furans,Combined,,,,,,,,,,,,,3,10,0,0,0,0
935,HpCDFs,Polychlorodibenzo-furans (PCDF),Heptachlorodibenzo-furans,Combined,,,,,,,,,,,,,3,10,0,0,0,0
936,OCDF,Polychlorodibenzo-furans (PCDF),"1,2,3,4,6,7,8,9-Octachlorodibenzo-furan",Single,,39001-02-0,38200,81515,,,ClC1=C2OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3C2=C(Cl)C(Cl)=C1Cl,C12Cl8O,InChI=1S/C12Cl8O/c13-3-1-2-4(14)6(16)8(18)10(20)12(2)21-11(1)9(19)7(17)5(3)15,RHIROFAGUQOFLU-UHFFFAOYSA-N,443.752,439.745736278,28,81,0,0,0,0
1170,PCDD/Fs,Dioxins (PCDD/F),Polychlorodibenzo-p-dioxins and Polychlorodibenzo-furans,Combined,,,,,,,,,,,,,11,27,0,0,0,0
909,"2,3,7,8-TCDD",Polychlorodibenzo-p-dioxins (PCDD),"TCDD; 2,3,7,8-Tetrachlorodibenzo-p-dioxin; Seveso dioxin",Single,,1746-01-6,15625,28119,,,ClC1=CC2=C(OC3=C(O2)C=C(Cl)C(Cl)=C3)C=C1Cl,C12H4Cl4O2,InChI=1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H,HGUFODBRKLSHSI-UHFFFAOYSA-N,321.971,319.8965402,28,81,0,0,0,0
912,"1,2,3,7,8-PeCDD",Polychlorodibenzo-p-dioxins (PCDD),"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",Single,,40321-76-4,38439,81501,,,ClC1=CC2=C(OC3=C(Cl)C(Cl)=C(Cl)C=C3O2)C=C1Cl,C12H3Cl5O2,InChI=1S/C12H3Cl5O2/c13-4-1-7-8(2-5(4)14)19-12-9(18-7)3-6(15)10(16)11(12)17/h1-3H,FSPZPQQWDODWAU-UHFFFAOYSA-N,356.416,353.857567875,28,81,0,0,0,0
914,"1,2,3,4,7,8-HxCDD",Polychlorodibenzo-p-dioxins (PCDD),"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",Single,,39227-28-6,38251,81502,,,ClC1=CC2=C(OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3O2)C=C1Cl,C12H2Cl6O2,InChI=1S/C12H2Cl6O2/c13-3-1-5-6(2-4(3)14)20-12-10(18)8(16)7(15)9(17)11(12)19-5/h1-2H,WCYYQNSQJHPVMG-UHFFFAOYSA-N,390.861,387.81859555,27,77,0,0,0,0
913,"1,2,3,6,7,8-HxCDD",Polychlorodibenzo-p-dioxins (PCDD),"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",Single,,57653-85-7,42540,81503,,,ClC1=CC2=C(OC3=C(O2)C(Cl)=C(Cl)C(Cl)=C3)C(Cl)=C1Cl,C12H2Cl6O2,InChI=1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-6-2-4(14)8(16)10(18)12(6)19-5/h1-2H,YCLUIPQDHHPDJJ-UHFFFAOYSA-N,390.861,387.81859555,27,77,0,0,0,0
917,"1,2,3,7,8,9-HxCDD",Polychlorodibenzo-p-dioxins (PCDD),"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",Single,,19408-74-3,29575,81504,,,ClC1=CC2=C(OC3=C(Cl)C(Cl)=C(Cl)C=C3O2)C(Cl)=C1Cl,C12H2Cl6O2,InChI=1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-12-6(19-5)2-4(14)8(16)10(12)18/h1-2H,LGIRBUBHIWTVCK-UHFFFAOYSA-N,390.861,387.81859555,27,77,0,0,0,0
916,"1,2,3,4,6,7,8-HpCDD",Polychlorodibenzo-p-dioxins (PCDD),"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",Single,,35822-46-9,37270,81505,,,ClC1=CC2=C(OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C3O2)C(Cl)=C1Cl,C12HCl7O2,InChI=1S/C12HCl7O2/c13-2-1-3-10(7(17)4(2)14)21-12-9(19)6(16)5(15)8(18)11(12)20-3/h1H,WCLNVRQZUKYVAI-UHFFFAOYSA-N,425.306,421.779623225,28,81,0,0,0,0
937,"2,3,7,8-TCDF",Polychlorodibenzo-furans (PCDF),"2,3,7,8-Tetrachlorodibenzo-furan",Single,,51207-31-9,39929,81506,,,ClC1=C(Cl)C=C2C(OC3=CC(Cl)=C(Cl)C=C23)=C1,C12H4Cl4O,InChI=1S/C12H4Cl4O/c13-7-1-5-6-2-8(14)10(16)4-12(6)17-11(5)3-9(7)15/h1-4H,KSMVNVHUTQZITP-UHFFFAOYSA-N,305.972,303.901625578,27,78,0,0,0,0
924,"1,2,3,7,8-PeCDF",Polychlorodibenzo-furans (PCDF),"1,2,3,7,8-Pentachlorodibenzo-furan",Single,,57117-41-6,42138,81507,,,ClC1=C(Cl)C=C2C(OC3=CC(Cl)=C(Cl)C(Cl)=C23)=C1,C12H3Cl5O,InChI=1S/C12H3Cl5O/c13-5-1-4-8(2-6(5)14)18-9-3-7(15)11(16)12(17)10(4)9/h1-3H,SBMIVUVRFPGOEB-UHFFFAOYSA-N,340.417,337.862653253,27,79,0,0,0,0
926,"1,2,3,4,7,8-HxCDF",Polychlorodibenzo-furans (PCDF),"1,2,3,4,7,8-Hexachlorodibenzo-furan",Single,,70648-26-9,51130,81509,,,ClC1=C(Cl)C=C2C(OC3=C(Cl)C(Cl)=C(Cl)C(Cl)=C23)=C1,C12H2Cl6O,InChI=1S/C12H2Cl6O/c13-4-1-3-6(2-5(4)14)19-12-7(3)8(15)9(16)10(17)11(12)18/h1-2H,LVYBAQIVPKCOEE-UHFFFAOYSA-N,374.862,371.823680928,27,77,0,0,0,0
927,"1,2,3,6,7,8-HxCDF",Polychlorodibenzo-furans (PCDF),"1,2,3,6,7,8-Hexachlorodibenzo-furan",Single,,57117-44-9,42140,81511,,,ClC1=C(Cl)C(Cl)=C2C(OC3=C(Cl)C(Cl)=C(Cl)C=C23)=C1,C12H2Cl6O,InChI=1S/C12H2Cl6O/c13-4-1-3-7-6(2-5(14)8(15)10(7)17)19-12(3)11(18)9(4)16/h1-2H,JEYJJJXOFWNEHN-UHFFFAOYSA-N,374.862,371.823680928,27,77,0,0,0,0
